#,Player,MVP,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
79,Brooks Sales,0,PAU,34,24.9,10.6,4.1,8.4,491,0.4,1.4,292,1.9,3.0,653,2.3,4.9,7.2,1.0,1.3,0.4,2.1,2.9
80,Nate Green,0,PAU,33,29.1,10.6,3.8,8.3,462,0.7,2.5,277,2.2,3.1,725,0.9,4.1,5.1,2.5,2.0,0.5,1.9,2.4
81,Brandon Brown,0,TER,34,27.6,10.5,3.3,7.2,457,1.2,3.1,400,2.7,3.5,767,2.1,4.1,6.3,1.1,1.4,0.5,1.6,2.6
82,Luca Vitali,0,MON,39,26.1,10.3,2.6,7.0,372,1.5,4.5,322,3.6,4.2,860,0.5,2.0,2.5,3.1,1.7,0.1,2.9,2.5
83,Nikola Radulovic,0,AVE,40,24.8,10.3,3.5,7.8,447,1.1,3.5,319,2.2,2.6,819,0.8,3.3,4.1,1.6,1.9,0.4,2.0,2.7
84,Frankie Williams,0,SCAF,22,28.2,10.1,3.4,9.7,352,2.2,6.7,327,1.1,1.6,714,0.5,1.7,2.2,2.0,2.6,0.1,2.3,2.2
85,Filiberto Rivera,0,SS,13,30.5,10.1,3.3,8.2,406,1.0,3.4,295,2.5,3.2,780,0.8,1.5,2.4,3.3,1.7,0.0,3.2,2.5
86,Drake Diener,0,SANA,15,18.7,9.9,3.3,5.9,557,2.1,3.7,564,1.3,1.8,741,0.7,1.9,2.5,1.0,0.7,0.1,1.1,1.9
87,Bootsy Thornton,0,SANA,45,23.8,9.9,3.5,7.3,482,1.0,2.9,357,1.8,2.2,812,1.0,2.3,3.2,1.2,1.3,0.0,1.7,2.1
88,Torin Francis,0,CAN,38,24.6,9.9,3.6,5.8,618,0.0,0.0,1.00,2.7,4.2,648,2.5,4.2,6.7,0.4,1.3,0.5,2.3,2.9
89,Tierre Brown,0,VAR,17,26.5,9.8,3.8,9.7,394,0.6,3.0,196,1.6,2.4,675,0.4,2.1,2.5,2.7,1.7,0.0,3.1,1.8
90,Dimitri Lauwers,0,SCAF,23,26.1,9.7,2.8,6.2,451,2.1,4.7,440,2.1,2.3,923,0.6,1.6,2.2,1.7,1.5,0.0,1.2,3.2
91,Sven Schultze,0,PAU,34,21.7,9.6,3.3,6.9,485,1.9,4.3,445,1.0,1.4,708,1.3,1.5,2.8,0.8,0.9,0.1,1.8,3.1
92,Steven Smith,0,SOLS,12,21.7,9.5,3.5,8.4,416,0.7,2.8,235,1.8,2.8,667,0.9,3.0,3.9,0.4,1.3,0.2,1.3,2.6
93,Denham Brown,0,CAN,36,30.3,9.5,3.4,8.9,382,0.7,2.3,310,1.9,2.7,704,1.3,3.5,4.8,1.2,1.3,0.3,2.7,1.9
94,Oscar Torres,0,BOL,36,24.2,9.4,3.2,7.2,446,1.1,3.2,345,1.9,2.8,687,1.2,3.2,4.4,1.3,1.2,0.2,1.5,2.3
95,Rolando Howell,0,ORL,37,23.9,9.4,3.9,5.5,712,0.0,0.0,1.00,1.4,3.5,408,2.1,3.6,5.7,0.3,2.4,0.6,1.1,3.1
96,Pops Mensah-Bonsu,0,TREV,31,24.5,9.2,3.5,5.8,594,0.0,0.0,1.00,2.3,4.2,546,3.6,4.7,8.3,0.3,1.3,1.1,2.3,2.8
97,Gigi Datome,0,SCAF,32,22.1,9.1,3.2,6.3,515,1.0,2.6,398,1.6,1.8,879,1.0,2.4,3.4,0.8,1.5,0.3,1.7,2.7
98,Daniele Cinciarini,0,BEI,34,20.1,9.1,2.9,6.3,465,1.1,2.8,394,2.1,2.7,780,1.0,1.3,2.3,0.8,0.9,0.0,1.7,2.2
99,Russell Carter,0,SOLS,19,23.1,8.9,3.4,7.9,433,1.2,3.6,324,0.9,1.2,818,0.9,1.9,2.9,0.7,1.6,0.2,2.2,2.4
100,Mate Skelin,0,VAR,6,23.7,8.8,3.3,5.0,667,0.0,0.0,0,2.2,4.3,500,2.8,3.7,6.5,1.0,1.7,0.5,1.5,1.8
101,Matteo Soragna,0,TREV,34,28.3,8.8,2.9,6.7,427,1.6,3.7,448,1.5,1.6,909,0.6,2.2,2.7,1.7,1.5,0.2,1.8,2.9
102,Matteo Malaventura,0,SS,34,25.1,8.8,3.0,7.7,393,1.7,4.8,362,1.0,1.1,872,0.5,1.4,1.9,1.6,1.4,0.0,1.1,1.6
103,Janis Blums,0,SS,30,23.4,8.7,3.0,6.5,454,1.8,4.3,411,1.0,1.3,750,0.2,2.1,2.4,2.7,1.3,0.0,2.0,2.9
104,DerMarr Johnson,0,TREV,6,24.7,8.7,3.2,10.2,311,1.5,6.0,250,0.8,1.5,556,0.5,2.3,2.8,1.8,1.2,0.0,1.8,2.0
105,Travis Watson,0,MIL,42,22.5,8.6,3.4,5.7,589,0.0,0.0,0,1.9,3.5,541,3.6,5.4,9.0,0.5,1.9,0.5,2.5,3.4
106,Patricio Prato,0,SOLS,34,20.8,8.6,3.0,6.6,447,0.9,2.7,344,1.7,2.2,776,0.7,1.5,2.2,0.9,1.4,0.1,1.9,3.1
107,Rodrigo De La Fuente,0,ROM,28,26.7,8.5,3.0,6.1,488,0.9,2.6,342,1.6,2.0,772,1.2,3.4,4.6,1.5,1.4,0.1,1.4,2.3
108,Kristaps Janicenoks,0,BOL,32,22.8,8.4,2.7,6.6,410,1.2,3.4,343,1.8,2.3,784,0.6,1.7,2.3,1.1,1.5,0.0,1.3,2.6
109,Roberto Gabini,0,ROM,45,23.6,8.4,3.0,6.8,438,1.6,4.2,368,0.9,1.3,702,1.0,3.6,4.6,1.2,1.4,0.2,1.9,3.1
110,Haris Mujezinovic,0,TREV,5,17.4,8.4,3.4,6.2,548,0.4,1.2,333,1.2,1.6,750,1.4,2.2,3.6,1.0,2.2,0.0,1.8,1.8
111,Kyle Hill,0,PAU,6,25.0,8.3,3.0,9.3,321,1.3,5.7,235,1.0,1.2,857,0.3,1.8,2.2,1.3,2.3,0.0,1.5,2.8
112,Brett Blizzard,0,BOL,12,25.7,8.2,2.8,6.7,413,1.3,4.0,313,1.4,1.8,810,0.4,2.3,2.8,0.9,1.1,0.1,1.1,2.9
113,Benjamin Eze,0,SANA,45,20.6,8.1,3.2,5.1,640,0.1,0.1,600,1.6,2.5,640,2.0,3.0,5.0,0.2,1.3,0.9,1.2,2.3
114,Marcus Melvin,0,VAR,30,22.8,8.1,3.1,6.8,458,1.0,2.7,363,0.9,1.1,848,1.2,3.2,4.4,0.5,0.8,0.2,1.3,2.3
115,Joel Salvi,0,SCAF,33,24.3,8.1,3.2,6.6,482,1.1,2.8,380,0.7,1.1,611,1.5,3.5,4.9,1.0,1.7,0.2,1.4,3.6
116,James Thomas,0,BOL,32,24.5,8.0,2.6,4.5,580,0.0,0.0,0,2.8,4.4,645,3.8,5.7,9.5,0.5,1.0,0.6,1.6,3.2
117,Roberto Chiacig,0,BOL,34,21.0,7.9,2.9,5.5,535,0.0,0.0,0,2.1,3.9,522,2.9,3.9,6.8,0.6,1.4,0.4,1.5,2.4
118,Cheyne Gadson,0,MIL,6,20.3,7.8,3.3,8.3,400,0.2,2.5,67,1.0,1.7,600,0.8,1.0,1.8,1.8,0.8,0.0,2.0,2.7
119,Ibrahim Jaaber,0,ROM,23,20.3,7.8,3.2,6.3,510,0.7,2.0,319,0.7,1.6,472,1.3,1.5,2.8,1.0,2.2,0.3,1.8,2.5
120,Pervis Pasco,0,PES,34,23.1,7.6,3.4,4.6,731,0.0,0.1,0,0.9,2.1,451,2.9,4.8,7.6,0.5,2.4,1.2,1.9,3.1
121,Adam Wojcik,0,ORL,37,15.6,7.5,2.9,5.2,555,0.5,1.2,391,1.3,2.2,585,0.7,1.4,2.1,0.2,0.6,0.5,1.1,2.0
122,Vlado Ilijevski,0,SANA,45,19.5,7.4,2.5,6.0,410,0.9,2.6,342,1.6,2.0,800,0.4,1.0,1.3,1.7,1.4,0.1,1.5,1.4
123,Will Conroy,0,BOL,11,27.5,7.4,2.4,6.6,356,1.0,3.0,333,1.6,2.5,667,0.5,1.6,2.2,4.0,1.4,0.0,3.3,2.4
124,Jon Stefansson,0,ROM,39,22.2,7.3,2.6,6.7,395,1.5,4.3,341,0.6,0.8,742,0.4,2.2,2.6,1.4,1.8,0.0,1.6,3.0
125,Gabriel Fernandez,0,VAR,17,19.6,7.2,2.2,4.8,451,0.9,2.2,432,1.9,2.8,702,1.3,3.5,4.8,0.4,1.2,0.4,1.3,3.4
126,Guillaume Yango,0,TER,33,21.0,7.2,3.3,5.2,630,0.0,0.1,500,0.6,1.1,528,1.6,3.4,5.0,0.4,0.4,0.2,1.1,2.3
127,Filip Videnov,0,SOLS,13,17.4,7.2,2.5,5.8,427,1.3,3.2,405,0.9,1.3,706,0.6,1.5,2.2,0.5,0.8,0.0,1.8,1.8
128,Marco Carra,0,TER,34,17.9,7.1,2.2,5.1,425,1.1,3.0,366,1.7,2.0,841,0.1,1.1,1.2,1.5,0.9,0.0,1.6,2.3
129,Marco Mordente,0,TREV,28,20.0,7.0,2.2,5.4,407,1.0,2.9,363,1.6,1.9,865,0.8,1.3,2.1,1.3,1.5,0.0,1.6,2.7
130,John Lucas,0,TREV,7,14.7,6.9,2.7,5.4,500,1.1,2.6,444,0.3,0.6,500,0.4,0.9,1.3,1.1,1.0,0.0,1.4,1.3
131,Michele Antonutti,0,PAU,28,18.0,6.8,2.2,4.4,496,1.0,2.6,403,1.4,1.8,796,0.7,1.4,2.1,0.3,0.7,0.1,0.9,1.6
132,Gregor Hafnar,0,VAR,21,24.2,6.6,2.1,6.4,336,1.0,3.6,289,1.3,1.6,818,0.5,1.5,2.0,1.2,1.1,0.0,1.5,3.0
133,Fabio Di Bella,0,MIL,18,21.2,6.6,2.2,5.4,408,0.3,1.5,222,1.8,2.2,825,0.3,2.2,2.5,1.9,2.1,0.1,1.9,2.9
134,Mohammed Abukar,0,CAN,10,23.6,6.6,2.6,7.6,342,0.8,3.0,267,0.6,0.6,1.00,0.4,2.0,2.4,0.1,0.5,0.2,1.4,2.5
