#,Player,MVP,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Ricky Ledo,0,REG,8,33.0,23.5,7.9,19.9,396,3.0,9.5,316,4.8,6.6,717,1.1,3.8,4.9,3.4,0.8,0.1,2.4,1.5
2,Darius Johnson-Odom,0,REG,7,29.0,21.1,6.1,12.0,512,2.0,4.9,412,6.9,7.6,906,0.0,2.7,2.7,2.3,1.0,0.0,2.3,3.3
3,Tony Mitchell,0,PIS,11,29.8,20.4,6.9,16.7,413,2.8,8.3,341,3.7,4.7,788,0.6,4.1,4.7,3.5,0.3,0.7,3.2,3.3
4,Frank Gaines,0,CAN,30,33.8,20.3,6.6,14.8,445,2.6,7.9,335,4.5,5.9,773,0.5,2.6,3.2,2.6,1.1,0.2,2.7,3.5
5,"James Blackmon, Jr.",0,PES,30,33.2,19.8,6.4,15.0,429,2.5,7.2,347,4.4,4.9,899,0.8,3.0,3.8,2.0,1.3,0.1,2.3,2.2
6,Scott Bamforth,0,SAS,15,28.0,19.0,5.7,12.3,467,3.0,6.8,441,4.5,5.1,895,0.5,3.1,3.6,3.1,0.6,0.0,1.8,2.7
7,Erik McCree,0,PES,27,33.8,18.4,6.4,14.9,433,2.0,5.4,363,3.5,5.0,704,1.3,3.7,5.0,1.0,1.2,0.3,2.8,2.4
8,Davon Jefferson,0,CAN,29,32.8,18.0,7.2,12.0,602,0.2,0.3,600,3.4,5.3,643,3.3,5.4,8.8,2.4,0.6,0.7,2.4,2.7
9,Drew Crawford,1,CRE,34,31.9,17.8,6.4,13.4,476,1.9,5.3,350,3.2,4.0,788,0.8,3.4,4.2,1.9,0.9,0.3,2.1,2.5
10,Aleksa Avramovic,0,VAR,30,28.6,17.7,6.4,14.6,438,2.1,5.2,395,2.9,3.8,761,0.5,2.8,3.4,3.0,1.4,0.2,1.7,2.4
11,Caleb Green,0,AVE,25,32.7,17.3,5.0,10.8,465,1.9,5.2,366,5.4,6.8,799,1.4,5.5,6.9,2.7,0.8,0.4,2.9,2.4
12,Keifer Sykes,0,AVE,35,29.8,17.1,6.3,13.4,470,1.9,4.7,402,2.5,3.2,802,0.7,2.8,3.6,4.1,1.1,0.1,2.0,2.8
13,Norris Cole,0,AVE,10,30.1,16.3,6.2,14.3,434,1.6,4.9,327,2.3,3.2,719,0.3,2.9,3.2,6.1,1.2,0.0,3.0,2.2
14,Adrian Banks,0,NBB,32,32.3,15.9,5.5,12.5,443,1.6,5.0,317,3.3,4.0,820,0.8,3.8,4.6,4.1,1.1,0.0,2.4,2.0
15,Dallas Moore,0,TOR,23,31.8,15.9,6.0,11.8,513,2.3,5.9,400,1.5,1.7,872,0.7,1.7,2.3,3.2,0.9,0.0,2.1,1.2
