#,Player,MVP,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Drew Nicholas,0,LIV,33,35.2,22.8,7.1,16.6,426,3.0,8.3,356,5.7,6.8,835,0.4,3.5,3.9,1.9,1.5,0.1,2.5,2.4
2,Jamel Thomas,0,TER,34,33.0,20.2,7.1,17.0,418,3.0,8.0,371,3.0,4.4,696,1.1,3.8,4.9,2.4,1.7,0.2,4.0,3.3
3,Boris Gorenc,0,PAU,14,33.9,19.9,7.2,12.1,594,1.0,3.1,318,4.4,7.1,620,1.5,1.7,3.2,2.6,1.2,0.1,3.6,3.1
4,Charles Cornelius Smith,0,PES,32,32.7,19.6,6.9,15.8,438,2.8,8.4,337,2.9,3.7,782,0.9,2.8,3.8,2.0,2.7,0.6,2.8,2.4
5,Norman Nolan,0,VAR,33,31.8,18.9,7.6,14.5,521,1.2,3.5,328,2.6,3.5,733,2.0,4.9,6.9,0.9,1.4,0.4,3.2,3.2
6,Mike Penberthy,0,SS,34,33.1,18.6,6.1,13.6,449,2.9,6.6,431,3.6,3.9,925,0.3,2.2,2.5,1.6,1.1,0.0,3.4,2.3
7,Mahmoud Abdul-Rauf,0,ROS,23,31.6,18.4,6.8,14.0,486,2.0,5.4,379,2.7,3.0,926,0.5,1.8,2.3,2.2,1.4,0.0,1.9,2.1
8,Preston Shumpert,0,LIV,34,33.9,18.1,6.9,14.3,483,1.9,4.9,388,2.4,3.1,766,2.0,3.1,5.1,1.5,2.0,0.2,2.1,2.7
9,Duane Woodward,0,ROS,31,34.5,17.4,5.5,11.8,466,1.9,4.8,392,4.5,5.3,842,1.1,2.6,3.7,3.5,2.8,0.3,2.6,3.1
10,David Hawkins,0,ROM,15,28.9,17.1,6.0,14.3,419,1.3,3.7,339,3.9,4.8,806,1.2,2.4,3.6,1.7,3.5,0.2,2.4,2.7
11,Raymond Tutt,0,JES,34,27.9,16.7,6.4,13.4,473,1.6,3.9,421,2.4,3.2,741,1.7,1.7,3.4,0.6,1.3,0.0,1.6,1.3
12,Mario Austin,0,BEI,32,34.5,16.7,6.6,13.0,505,0.1,0.8,167,3.4,5.3,643,1.9,4.2,6.2,1.3,1.9,0.3,2.5,2.2
13,Kiwane Garris,0,REG,31,36.8,16.1,4.8,11.7,409,2.0,5.3,372,4.5,5.4,849,0.6,3.3,3.9,3.4,2.0,0.0,2.1,2.6
14,Tyson Wheeler,0,TER,34,33.5,15.9,4.9,12.2,400,3.0,7.8,380,3.2,3.7,864,0.7,2.4,3.1,4.6,1.9,0.0,2.9,2.7
15,Ansu Sesay,0,ROS,18,32.8,15.9,5.9,11.8,500,1.9,4.6,427,2.2,3.4,639,1.7,5.3,7.1,1.7,1.1,1.2,3.9,3.8
16,Rimantas Kaukenas,0,CAN,35,29.0,15.9,5.1,10.3,493,1.2,3.0,404,4.6,5.0,909,0.8,1.8,2.5,1.9,2.2,0.0,3.0,3.1
17,Damon Williams,0,AVE,34,32.4,15.7,5.8,12.4,470,0.6,2.1,264,3.5,4.9,707,3.3,4.9,8.1,1.7,2.2,0.6,2.7,2.8
18,Mario Boni,0,JES,20,25.5,15.6,4.2,12.8,329,1.6,5.5,291,5.6,6.7,836,1.2,2.7,3.9,1.4,1.3,0.0,3.0,3.4
19,Rick Hughes,0,TER,7,26.0,15.3,6.3,11.7,537,0.0,0.0,0,2.7,3.4,792,3.0,4.1,7.1,0.4,1.4,0.0,3.6,2.9
20,Scoonie Penn,0,PES,19,33.7,15.1,4.9,10.8,456,1.2,4.3,280,3.9,4.7,843,0.4,1.9,2.4,2.7,2.4,0.0,3.0,2.3
21,Marlon Garnett,0,TREV,35,30.1,14.7,4.7,10.1,468,2.9,6.5,454,2.3,2.6,859,0.2,2.4,2.6,1.4,0.9,0.1,1.6,1.7
22,Charles Gaines,0,VRC,9,28.3,14.4,5.4,10.4,521,0.2,0.4,500,3.3,4.9,682,2.8,6.0,8.8,0.2,1.4,1.3,2.1,2.8
23,Ramunas Siskauskas,0,TREV,36,26.3,14.4,4.7,9.4,499,1.8,4.1,449,3.3,4.0,807,0.9,1.7,2.6,1.7,1.8,0.3,2.0,2.2
24,Jeff Trepagnier,0,SS,29,31.4,14.4,5.4,12.1,446,1.9,5.4,354,1.7,2.2,769,0.7,4.1,4.8,0.8,2.0,0.7,2.4,3.1
25,Nicolas Mazzarino,0,VRC,34,35.6,14.4,4.7,9.9,475,2.2,5.6,400,2.8,3.3,848,0.4,2.2,2.6,2.6,1.9,0.1,2.6,2.0
26,Alain Digbeu,0,VAR,34,33.5,14.4,4.3,8.9,480,2.5,6.3,404,3.3,3.9,843,0.5,2.8,3.3,1.6,2.4,0.3,2.4,2.7
27,Milos Vujanic,0,BOL,37,28.2,14.3,4.6,10.1,457,2.2,5.7,387,2.8,3.4,825,0.4,1.6,2.0,2.5,1.4,0.0,2.8,2.5
28,Sani Becirovic,0,VAR,29,26.5,14.2,4.2,9.4,443,1.3,3.1,416,4.6,5.8,787,0.8,2.6,3.3,3.8,1.4,0.0,3.8,2.8
29,Bootsy Thornton,0,SANA,36,30.6,14.1,4.7,10.0,474,0.9,2.9,308,3.8,4.8,801,1.4,4.3,5.6,2.3,2.6,0.3,2.8,2.8
30,Jerome Allen,0,SS,31,32.5,14.0,4.5,9.5,475,1.8,4.2,427,3.1,4.3,729,0.7,4.2,4.9,2.7,1.1,0.1,2.3,2.1
31,Jay Larranaga,0,VRC,27,30.8,13.7,4.3,9.7,448,3.0,7.1,427,2.0,2.5,809,0.7,2.9,3.6,0.8,1.7,0.1,1.6,3.0
32,Casey Shaw,0,VRC,34,33.2,13.7,5.9,11.2,525,0.0,0.1,333,1.9,4.7,398,2.4,6.9,9.4,0.8,1.6,0.4,1.7,2.9
33,LaVell Blanchard,0,VRC,29,24.9,13.7,5.2,10.5,495,0.7,2.4,304,2.5,3.0,839,2.9,3.3,6.2,0.6,1.2,0.2,2.6,3.8
34,Marcus Goree,0,TREV,40,29.7,13.5,5.2,11.3,462,0.7,1.9,365,2.4,3.4,709,2.5,4.5,7.0,1.4,1.5,0.8,2.2,1.9
35,Nate Green,0,AVE,34,31.9,13.4,4.6,9.6,473,0.9,3.2,291,3.4,4.7,719,0.7,3.4,4.1,3.4,2.9,0.4,2.8,2.8
