#,Player,MVP,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Wayne Selden,0,VER,2,26.5,20.0,6.0,13.5,444,3.0,6.5,462,5.0,6.5,769,1.0,1.5,2.5,2.0,0.5,0.0,1.0,3.5
2,"Frank Bartley, IV",0,TRIE,29,32.4,19.5,6.5,16.1,403,2.4,6.2,383,4.1,5.2,795,0.6,4.2,4.8,3.0,1.1,0.2,3.1,1.6
3,David Logan,0,SCAF,25,28.4,18.4,6.2,14.7,421,3.6,8.8,409,2.4,2.7,868,0.5,1.5,2.0,3.2,1.2,0.4,2.0,2.0
4,Colbey Ross,0,VAR,30,30.3,17.5,6.1,12.3,500,1.6,4.0,388,3.6,4.8,752,0.7,3.8,4.4,7.5,1.1,0.1,3.7,3.3
5,Markel Brown,0,VAR,29,32.2,16.9,5.0,11.8,424,3.0,7.6,393,4.0,5.1,772,0.7,3.3,4.0,3.2,1.3,0.4,1.9,2.7
6,Adrian Banks,0,TREV,30,29.9,16.8,5.5,12.8,432,1.7,4.9,338,4.0,4.9,829,0.5,1.9,2.3,2.3,0.8,0.1,2.9,1.5
7,Amedeo Della Valle,1,BRE,29,29.3,16.5,4.3,10.4,411,2.0,5.4,372,5.9,6.3,940,0.2,2.0,2.2,4.1,1.1,0.3,2.1,2.3
8,Ike Iroegbu,0,TREV,28,27.2,16.4,5.4,11.7,460,2.2,5.3,422,3.4,4.0,832,0.5,2.8,3.3,2.7,0.8,0.1,2.2,2.3
9,Semaj Christon,0,TORT,36,29.9,15.7,6.1,13.4,455,0.9,2.6,337,2.6,3.8,704,0.5,2.1,2.6,4.9,1.0,0.0,2.1,1.9
10,Jaron Johnson,0,VAR,28,30.9,15.3,5.2,12.1,429,2.1,6.3,343,2.8,3.4,813,0.5,4.6,5.2,2.2,0.7,0.2,1.8,2.3
11,Jacorey Williams,0,NAP,30,29.2,15.1,6.7,10.6,629,0.0,0.0,0,1.7,4.0,430,2.2,5.8,7.9,1.3,1.1,0.4,1.9,2.7
12,John Petrucelli,0,BRE,20,25.6,15.0,5.2,9.8,531,2.0,4.0,506,2.6,3.2,810,0.6,1.4,2.0,1.8,1.3,0.2,1.8,3.3
13,Nick Perkins,0,NBB,31,26.0,14.9,5.5,11.3,487,0.4,1.8,228,3.5,5.1,696,2.4,2.9,5.3,1.0,0.5,0.3,2.1,2.5
14,Marcquise Reed,0,NBB,33,23.9,14.8,5.5,11.8,469,1.1,3.3,336,2.5,3.1,824,0.9,2.7,3.6,1.7,1.4,0.1,1.2,2.4
15,Karvel Anderson,0,VER,30,28.2,14.5,4.7,11.7,402,2.8,7.1,390,2.4,2.8,855,0.8,2.1,2.9,1.4,1.0,0.0,1.5,2.3
16,Shabazz Napier,0,MIL,26,24.8,14.5,4.1,9.8,421,2.5,6.4,383,3.8,4.4,852,0.2,2.4,2.6,3.9,1.2,0.0,2.5,2.2
17,Chris Dowe,0,SAS,31,25.2,13.8,4.6,9.5,485,1.0,2.8,372,3.6,4.1,867,1.3,2.7,4.0,4.8,1.1,0.1,2.0,2.5
18,Thomas Wimbush,0,NAP,10,30.1,13.7,3.5,9.0,389,1.6,4.5,356,5.1,6.5,785,1.4,4.5,5.9,0.9,0.6,0.0,1.2,2.6
19,Cameron Hunt,0,TORT,2,29.0,13.5,5.0,11.0,455,1.5,3.0,500,2.0,2.0,1.00,1.0,2.0,3.0,2.0,2.0,0.0,3.0,3.0
20,Brandon Davies,0,MIL,24,19.9,13.5,5.0,8.4,599,0.1,0.5,167,3.3,4.5,734,1.4,3.4,4.8,1.6,1.0,0.6,2.0,2.7
21,Jordan Howard,0,NAP,29,25.7,13.4,4.5,10.6,423,2.4,5.9,401,2.1,2.4,871,0.2,1.3,1.6,2.5,0.7,0.0,1.5,0.7
22,Frank Gaines,0,TRIE,19,25.2,13.4,4.1,11.2,366,2.2,6.8,326,2.9,3.7,789,0.5,2.3,2.8,0.9,0.4,0.1,1.9,1.8
23,Diego Flaccadori,0,TREN,33,28.9,13.2,4.7,11.3,417,1.3,4.1,321,2.4,3.1,792,0.4,3.6,4.0,3.3,1.2,0.2,2.4,1.4
24,Chinanu Onuaku,0,SAS,6,21.5,13.2,5.5,9.2,600,0.0,0.3,0,2.2,3.5,619,1.7,5.7,7.3,1.3,1.2,0.5,2.2,3.3
25,J.P. Macura,0,TORT,34,23.2,13.1,4.5,10.6,424,1.7,5.4,322,2.3,2.8,840,1.1,2.4,3.4,1.4,1.2,0.2,1.1,2.9
26,Corey Davis,0,TRIE,26,31.1,13.0,5.0,11.5,431,1.9,5.0,377,1.2,1.7,727,0.7,2.0,2.7,4.5,0.5,0.1,2.8,2.2
27,Muhammad-Ali Abdur-Rahkman,0,PES,34,29.4,13.0,4.4,10.2,434,1.5,4.0,380,2.6,3.6,730,0.9,2.5,3.4,4.1,1.1,0.2,2.4,2.6
28,Marco Belinelli,0,BOL,42,20.5,13.0,4.2,9.5,438,2.4,6.4,369,2.3,2.6,881,0.3,0.9,1.2,1.6,0.8,0.0,0.8,1.5
29,Mitchell Watt,0,VEN,31,24.2,13.0,5.2,8.4,622,0.0,0.1,500,2.5,3.5,738,1.5,4.1,5.5,1.3,0.5,0.6,2.3,3.3
30,Kruize Pinkins,0,SCAF,28,31.5,12.9,4.1,8.9,468,1.2,3.1,395,3.4,4.3,790,2.5,3.9,6.4,1.6,0.5,0.2,1.8,2.7
31,"Kwan Cheatham, Jr.",0,PES,34,28.0,12.6,4.4,11.0,404,2.5,6.6,375,1.2,1.6,745,1.4,3.7,5.1,1.2,0.7,0.4,1.5,2.0
32,Matteo Spagnolo,0,TREN,28,24.1,12.5,4.0,9.3,433,0.5,1.6,295,4.0,5.1,776,0.6,3.2,3.8,3.0,0.9,0.1,2.1,1.4
33,Stan Okoye,0,SCAF,21,27.9,12.5,4.3,10.7,406,2.2,5.9,374,1.6,2.0,829,1.0,3.2,4.2,1.4,1.0,0.2,0.9,2.3
