#,Player,MVP,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Rick Apodaca,0,SCAF,33,35.6,19.8,6.8,14.6,462,1.9,5.1,383,4.3,5.5,780,0.7,2.2,2.9,3.2,2.8,0.2,3.3,2.0
2,Alvin Young,0,ORL,34,35.5,19.6,7.1,15.5,457,1.2,3.8,315,4.2,5.7,746,1.4,2.9,4.3,2.7,1.8,0.1,3.3,3.0
3,Ramel Curry,0,AVE,27,33.3,18.7,6.5,13.1,496,2.0,4.2,469,3.8,4.1,927,1.9,3.5,5.4,2.0,1.9,0.0,2.7,1.6
4,Anthony Grundy,0,TER,33,30.9,18.2,6.3,14.9,424,1.9,6.7,285,3.7,4.7,782,1.5,2.9,4.4,2.6,2.7,0.2,2.4,2.8
5,Delonte Holland,0,VAR,37,32.7,17.5,6.4,14.5,441,1.2,4.0,297,3.6,4.8,737,1.5,3.2,4.8,1.5,1.0,0.2,2.5,2.4
6,Ron Slay,0,MON,34,30.6,17.3,6.0,11.3,533,1.1,2.9,360,4.3,5.8,740,2.4,5.2,7.6,1.1,1.5,0.2,3.0,3.3
7,Reece Gaines,0,BEI,36,29.0,17.0,6.0,13.1,459,2.1,5.4,389,2.9,4.2,695,0.2,2.2,2.4,1.8,1.8,0.1,3.5,2.9
8,Erik Daniels,0,BEI,39,30.3,16.8,6.9,13.8,502,0.9,3.0,314,1.9,3.5,559,3.2,6.8,10.0,1.8,1.7,0.4,2.4,2.8
9,Rimantas Kaukenas,0,SANA,43,25.2,16.6,5.2,9.5,547,1.3,3.0,441,4.9,5.8,845,0.6,1.5,2.1,1.7,1.6,0.2,2.1,2.8
10,Marco Belinelli,0,BOL,33,31.4,16.0,5.4,12.7,422,2.3,7.0,329,3.0,4.0,748,0.6,1.2,1.8,1.4,2.0,0.1,2.3,2.9
11,Jamel Thomas,0,BEI,20,33.0,15.7,5.5,13.4,408,2.2,5.6,384,2.6,3.5,743,1.8,4.6,6.4,1.9,1.6,0.2,2.5,3.0
12,Nikola Radulovic,0,AVE,16,29.4,15.6,4.5,10.6,426,2.1,5.2,398,4.5,5.3,857,1.1,5.1,6.1,1.9,2.5,0.6,2.6,2.4
13,David Blu,0,BOL,22,31.3,15.3,5.6,11.5,490,1.9,4.5,420,2.1,2.6,810,1.1,3.1,4.2,1.0,1.0,0.1,1.5,2.9
14,Alan Daniels,0,LIV,32,31.5,15.2,5.2,11.7,440,1.1,4.2,252,3.8,5.2,737,1.3,3.5,4.8,1.1,2.2,0.3,2.5,2.8
15,Jerome Allen,0,PAU,25,33.8,15.1,4.6,11.3,408,2.0,6.0,325,4.0,4.8,825,0.4,4.4,4.8,3.6,1.7,0.0,2.8,1.8
16,Jason Rowe,0,LIV,25,34.2,15.0,4.7,10.8,439,1.9,5.3,356,3.7,4.3,852,0.3,2.3,2.6,3.9,2.8,0.0,3.7,2.4
