Year,Team,Playoff,Finalist,Winner,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
2022,OpenJobMetis Varese,0,0,0,30,40.3,90.9,31.5,67.9,464,11.9,32.5,366,16.0,21.4,747,9.5,26.8,36.3,18.6,6.1,2.8,12.6,20.8
2022,Virtus Bologna,1,1,0,43,40.1,85.2,29.1,59.2,492,9.3,25.0,370,17.7,23.3,757,9.0,25.9,34.9,18.8,6.5,2.4,12.7,19.3
2022,Enel Brindisi,1,0,0,33,40.2,83.4,30.0,67.3,446,8.5,24.5,347,14.9,19.9,748,11.1,24.7,35.8,13.6,7.6,1.8,10.2,20.2
2022,AX Armani Exchange Milan,1,1,1,44,40.1,83.1,28.6,59.8,479,10.2,27.0,376,15.7,19.5,803,9.6,26.4,36.1,17.0,6.7,1.8,12.8,19.9
2022,Carpegna Prosciutto Basket Pesaro,1,0,0,34,40.3,83.1,29.8,64.2,464,10.1,27.0,375,13.4,18.1,740,9.8,22.8,32.6,15.9,6.8,2.2,11.8,22.3
2022,Banco di Sardegna Sassari,1,0,0,37,40.1,82.8,29.5,61.4,481,9.7,24.6,393,14.1,18.6,755,9.5,25.1,34.7,19.1,7.6,1.5,13.8,21.7
2022,Gemani Basket Brescia,0,0,0,30,40.7,82.5,28.1,62.4,450,9.8,26.3,374,16.5,20.6,801,9.6,25.3,34.9,16.3,5.9,2.7,11.5,23.0
2022,Umana Venezia,1,0,0,34,40.4,82.3,29.0,61.5,472,10.0,25.3,395,14.4,18.4,780,9.4,25.4,34.8,17.8,5.6,2.4,13.4,20.6
2022,Universo De'Longhi Treviso,0,0,0,30,40.0,81.1,27.9,61.1,456,8.5,24.1,355,16.8,21.6,776,9.8,23.1,32.9,14.5,7.2,1.7,13.4,19.8
2022,Bertram Tortona,1,0,0,37,40.1,79.7,28.8,65.6,440,8.9,26.6,336,13.1,17.3,758,9.7,27.1,36.8,16.7,6.8,1.7,10.9,19.6
2022,Napoli Basket,0,0,0,30,40.5,79.3,28.9,62.6,462,8.0,22.4,357,13.5,19.2,702,7.9,25.9,33.9,14.4,6.0,2.9,10.8,18.6
2022,Givova Scafati,0,0,0,30,40.3,79.3,26.4,62.2,425,11.0,29.6,370,15.4,19.0,811,10.6,24.4,35.0,18.4,6.3,2.2,12.7,22.1
2022,Tezenis Scaligera Verona,0,0,0,30,40.5,78.4,27.8,64.0,435,8.2,25.2,325,14.6,20.3,719,10.9,23.8,34.8,14.8,7.7,2.1,13.0,22.3
2022,Pallacanestro Trieste 2004,0,0,0,30,40.5,78.2,28.3,63.7,445,8.5,24.8,343,13.0,17.9,725,11.2,26.2,37.4,14.6,4.9,2.1,13.2,19.0
2022,Dolomiti Energia Trento,1,0,0,34,40.3,76.7,28.3,63.2,448,7.0,20.1,348,13.1,17.3,758,10.1,26.7,36.8,14.2,7.2,2.8,13.4,20.4
2022,Grissin Bon Reggio Emilia,0,0,0,30,40.5,76.2,26.4,59.1,446,8.3,24.8,336,15.2,20.1,753,9.3,25.6,34.9,17.5,6.7,3.1,13.3,21.1
