#,Player,MVP,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Aubrey Coleman,0,BEI,3,33.0,20.7,8.3,18.3,455,1.0,4.3,231,3.0,5.0,600,1.7,3.0,4.7,1.0,3.0,0.0,3.3,2.0
2,James White,0,SAS,34,35.7,20.2,6.9,13.0,533,1.0,3.4,299,5.4,6.8,789,1.3,3.6,4.9,2.3,2.3,0.5,3.0,2.5
3,Omar Thomas,1,AVE,33,34.5,17.5,5.5,11.8,465,0.7,2.3,320,5.8,6.8,848,2.0,4.1,6.0,1.5,2.5,0.2,2.7,2.5
4,K.C. Rivers,0,BOL,18,31.7,17.5,6.0,11.7,514,3.0,5.2,581,2.5,3.1,818,0.6,3.7,4.2,1.6,1.9,0.2,2.3,2.6
5,Ivan Zoroski,0,TER,30,33.6,16.0,5.1,11.7,439,2.3,6.1,380,3.4,4.3,785,0.6,2.3,2.9,3.8,1.1,0.1,3.2,3.2
6,Sharrod Ford,0,MON,30,31.7,15.8,6.4,11.7,543,0.1,0.4,167,3.0,4.5,679,3.3,7.1,10.4,0.6,1.6,2.3,3.0,3.6
7,Othello Hunter,0,SAS,33,32.1,14.8,6.0,10.3,578,0.0,0.3,91,2.9,3.8,760,3.1,4.7,7.8,0.5,2.3,1.0,2.1,3.0
8,Phil Goss,0,VAR,33,31.2,14.8,5.2,11.2,462,1.6,4.3,380,2.8,3.7,764,0.4,2.6,3.0,3.8,2.7,0.1,3.0,3.2
9,Marko Milic,0,CRE,29,27.1,14.8,5.6,10.6,531,0.0,0.0,0,3.6,4.8,754,2.6,2.7,5.3,1.5,2.1,0.1,2.1,2.7
10,Chevon Troutman,0,AVE,16,29.9,14.6,5.7,9.5,599,0.2,0.5,375,3.1,4.4,690,2.9,5.4,8.3,0.6,2.7,0.7,2.6,3.8
11,Anthony Roberson,0,NBB,26,27.8,14.6,5.2,12.3,419,2.4,6.7,354,1.9,2.3,831,0.7,2.2,2.9,0.8,1.1,0.0,2.2,3.0
12,Taqwa Pinero,0,AVE,24,29.5,14.4,4.9,11.6,419,2.5,6.8,366,2.2,2.9,754,0.6,2.6,3.2,1.2,1.9,0.1,1.9,2.4
13,Daniel Hackett,0,PES,30,27.4,14.3,4.5,8.8,511,0.8,2.4,315,4.5,5.8,776,0.6,3.2,3.8,2.0,2.4,0.0,2.4,3.1
14,Ebi Ere,0,JUV,30,32.4,14.1,4.8,12.0,402,2.1,5.4,380,2.4,3.3,735,0.7,2.5,3.2,1.2,1.6,0.2,2.0,2.3
15,Szymon Szewczyk,0,AVE,34,29.9,14.1,5.5,10.6,519,1.4,4.4,327,1.7,2.2,750,1.6,5.1,6.7,1.1,1.8,1.0,2.7,3.1
16,Ksystof Lavrinovic,0,SANA,38,23.3,14.1,4.7,8.4,551,0.8,2.2,366,4.0,4.9,813,1.1,4.2,5.3,1.2,1.8,0.7,1.6,2.0
17,Edgar Sosa,0,BEI,30,30.2,14.1,5.0,11.2,448,1.6,4.1,379,2.5,3.7,667,0.4,1.0,1.4,4.5,2.3,0.1,3.7,3.5
18,E.J. Rowland,0,CRE,30,32.1,13.9,5.2,10.8,483,1.1,3.4,330,2.3,3.4,683,0.7,2.3,3.0,3.8,2.9,0.1,2.9,2.6
19,Devin Smith,0,TREV,37,28.4,13.7,5.2,10.9,479,1.8,5.2,347,1.4,2.0,689,0.8,4.0,4.8,1.3,1.5,0.8,2.2,3.0
20,Yakhouba Diawara,0,NBB,30,34.8,13.6,4.7,11.0,424,1.2,4.0,300,3.1,4.4,699,2.6,1.9,4.5,1.1,1.4,0.0,2.1,2.5
21,Jumaine Jones,0,JUV,30,34.4,13.6,4.6,10.5,443,1.5,4.7,312,2.9,3.6,796,2.2,6.3,8.6,1.5,2.2,0.7,2.4,3.1
22,David Hawkins,0,MIL,38,30.2,13.6,4.6,9.9,467,1.6,4.4,355,2.8,3.6,772,1.1,2.8,3.9,2.8,2.3,0.1,2.6,2.8
23,Ron Slay,0,VAR,32,24.0,13.6,4.8,9.7,494,0.6,2.4,250,3.4,4.3,796,1.6,4.6,6.2,1.0,2.1,0.1,3.2,3.4
24,Marcelus Kemp,0,BOL,9,30.6,13.6,4.9,10.9,449,1.8,4.6,390,2.0,2.3,857,1.0,3.4,4.4,0.9,1.1,0.0,2.3,2.7
25,Drake Diener,0,TER,30,34.2,13.5,4.4,9.7,454,1.5,4.4,344,3.2,3.7,865,1.7,3.1,4.8,3.3,1.6,0.2,2.1,2.4
26,Dejan Ivanov,0,MON,30,30.7,13.4,5.2,10.3,503,0.7,1.8,407,2.3,3.9,581,3.8,4.2,8.0,0.3,1.5,0.1,2.2,2.0
27,Jobey Thomas,0,VAR,14,31.5,13.3,4.9,11.3,437,2.1,5.2,397,1.4,1.8,760,0.4,2.3,2.7,2.5,1.6,0.0,2.2,2.8
28,Kennedy Winston,0,BOL,29,31.2,13.2,4.9,10.9,445,0.6,2.7,228,2.8,3.8,752,0.9,2.9,3.7,1.7,1.8,0.2,2.3,2.1
29,Rimantas Kaukenas,0,SANA,36,24.0,13.0,4.5,9.6,467,1.2,2.7,448,2.9,3.1,912,0.5,1.6,2.0,1.4,1.5,0.1,2.1,2.5
30,Bo McCalebb,0,SANA,33,23.0,12.8,4.7,7.8,607,0.5,1.4,383,2.8,3.5,816,1.0,1.7,2.7,2.7,2.4,0.1,1.8,2.5
31,Andre Collins,0,PES,27,30.6,12.8,4.3,10.8,394,2.0,5.9,340,2.3,2.6,873,0.2,2.3,2.5,3.9,2.4,0.0,2.9,2.8
32,Donatas Motiejunas,0,TREV,37,25.6,12.8,4.5,8.5,525,0.6,1.5,429,3.2,4.5,715,1.7,2.6,4.4,0.9,1.2,0.4,2.1,2.5
33,Ali Muhammed,0,NBB,29,30.6,12.6,4.3,11.1,386,1.8,5.7,321,2.2,2.8,780,1.1,3.2,4.3,2.9,2.0,0.0,3.3,2.4
34,Fabio Di Bella,0,JUV,29,29.2,12.6,4.3,9.7,441,1.1,3.0,356,2.9,3.7,794,0.6,2.2,2.8,2.0,2.2,0.0,2.1,2.8
35,Travis Diener,0,SAS,30,31.0,12.5,4.3,10.2,423,1.5,4.1,363,2.3,2.9,814,0.6,2.8,3.4,4.6,1.2,0.0,2.4,2.0
36,Guillermo Diaz,0,PES,24,28.4,12.5,4.5,9.3,478,1.3,3.6,368,2.3,2.8,806,0.7,1.9,2.6,1.3,1.3,0.0,2.3,2.4
37,Nicolas Mazzarino,0,CAN,42,31.6,12.4,4.0,8.0,497,2.4,5.3,453,2.0,2.2,915,0.2,1.3,1.5,2.4,1.2,0.0,1.9,1.8
38,P.J. Tucker,0,MON,3,34.3,12.3,5.3,11.3,471,0.0,1.0,0,1.7,3.3,500,2.3,5.0,7.3,3.3,2.7,0.0,1.7,3.3
39,Artur Drozdov,0,CRE,28,34.3,12.3,4.5,8.7,520,1.9,4.3,430,1.3,1.8,725,1.6,4.0,5.6,1.3,1.8,0.8,1.8,1.9
40,Jeff Viggiano,0,BEI,30,27.4,12.2,4.8,9.3,518,1.0,3.3,306,1.6,2.3,681,1.2,3.3,4.5,1.3,2.1,0.2,2.1,2.8
41,Je'Kel Foster,0,CRE,29,32.1,12.2,4.3,9.5,457,1.8,4.7,375,1.8,2.4,718,0.7,2.7,3.3,2.1,2.1,0.1,1.8,2.6
42,Marko Scekic,0,CAN,9,21.2,12.1,4.8,7.7,623,0.2,0.9,250,2.3,3.4,677,2.4,3.3,5.8,0.8,1.4,0.2,2.3,4.1
43,Eric Williams,0,JUV,28,24.3,12.1,4.9,7.6,645,0.0,0.0,0,2.2,4.3,512,2.9,3.6,6.5,0.5,2.3,0.5,2.7,3.7
44,Kevin Fletcher,0,TER,30,27.0,12.0,4.6,9.5,488,0.2,0.6,278,2.6,3.6,713,3.5,3.2,6.7,0.5,1.0,0.3,2.9,3.2
45,Petteri Koponen,0,BOL,34,30.2,11.9,3.7,8.7,422,1.6,4.4,358,3.0,3.5,849,0.6,2.0,2.6,2.2,1.4,0.1,1.9,2.2
46,Kris Lang,0,NBB,24,31.6,11.9,4.6,8.1,564,0.0,0.1,0,2.7,3.8,722,2.2,5.6,7.8,0.3,1.3,1.0,2.0,1.9
47,Vladimir Dasic,0,ROM,30,30.0,11.8,4.5,8.9,507,0.9,2.7,325,1.8,2.8,655,2.1,4.4,6.5,1.5,2.4,0.3,2.4,2.6
48,Ibrahim Jaaber,0,MIL,38,28.2,11.7,4.3,8.8,488,1.3,3.9,342,1.7,2.5,688,1.1,2.2,3.3,2.1,2.3,0.3,2.0,3.2
49,Herve Toure,0,NBB,25,29.6,11.7,4.0,8.3,476,1.0,2.9,333,2.8,4.0,693,2.2,4.9,7.1,0.9,1.7,1.2,3.3,3.5
50,Josh Davis,0,TER,26,29.1,11.5,4.5,9.5,474,1.2,3.9,304,1.3,1.6,805,2.2,6.0,8.2,1.3,1.0,0.6,2.4,3.2
51,Marques Green,0,AVE,33,32.0,11.4,3.7,9.5,390,1.8,5.2,355,2.1,2.6,805,0.8,2.2,2.9,6.8,2.7,0.0,2.8,2.8
52,Mike Green,0,CAN,42,28.7,11.3,3.2,7.8,414,0.6,2.2,275,4.2,5.3,795,0.8,3.6,4.4,3.3,2.0,0.1,3.3,2.6
53,Nihad Djedovic,0,ROM,24,26.2,11.3,3.8,7.6,497,0.7,2.8,254,3.0,4.0,732,1.1,2.3,3.4,1.1,2.3,0.1,1.9,2.5
54,Marc Salyers,0,BEI,29,30.7,11.1,4.2,9.4,442,1.3,4.2,317,1.4,2.2,631,1.5,3.0,4.6,1.6,1.3,0.4,2.1,3.8
55,Charles Cornelius Smith,0,ROM,30,26.0,11.0,3.9,9.8,398,2.4,6.6,367,0.8,1.3,615,0.8,2.5,3.4,0.9,1.9,0.7,1.9,2.5
56,Stefano Mancinelli,0,MIL,35,29.9,11.0,4.2,9.9,424,1.2,3.9,311,1.4,2.0,704,0.9,3.3,4.2,2.3,1.7,0.4,1.8,2.7
57,Jared Homan,0,BOL,33,26.9,10.9,4.5,9.3,485,0.0,0.1,0,1.9,4.3,434,3.3,4.6,7.9,0.6,1.7,0.8,2.8,2.5
58,Mike Hall,0,TER,5,37.6,10.8,3.6,9.6,375,1.6,4.6,348,2.0,2.4,833,2.4,5.8,8.2,1.8,1.8,0.2,3.2,3.0
