Year,Team,Playoff,Finalist,Winner,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
2015,Banco di Sardegna Sassari,1,0,0,33,40.8,82.9,29.7,62.8,474,10.5,27.6,381,13.0,16.6,780,7.2,21.8,29.0,15.9,8.2,3.7,14.3,19.9
2015,Acqua San Bernardo Cantu,0,0,0,30,40.7,80.7,29.1,62.8,463,9.1,25.5,359,13.5,18.9,714,8.2,24.3,32.5,14.9,5.9,3.8,14.5,20.3
2015,AX Armani Exchange Milan,1,1,0,45,40.1,80.7,28.9,61.4,470,8.1,23.0,350,14.9,20.0,745,9.8,24.4,34.2,16.0,7.7,1.7,14.7,21.0
2015,Sidigas Avellino,1,0,0,40,40.4,80.6,28.9,62.0,466,8.6,23.3,370,14.2,17.4,817,9.0,24.5,33.5,18.8,6.3,2.4,15.0,18.1
2015,Grissin Bon Reggio Emilia,1,1,1,46,40.2,80.2,28.1,61.4,457,8.9,25.4,349,15.2,19.4,780,8.5,22.6,31.0,16.3,7.7,2.1,13.8,22.2
2015,Enel Brindisi,0,0,0,30,40.8,77.3,28.1,62.2,452,6.9,21.1,328,14.2,19.3,737,9.6,25.3,35.0,12.9,6.5,1.8,16.2,21.0
2015,Georgio Tesi Group Pistoia,1,0,0,33,40.5,77.2,28.4,65.8,431,7.7,24.9,310,12.7,18.1,702,9.1,25.1,34.1,15.7,7.0,2.2,13.4,20.7
2015,Umana Venezia,1,0,0,40,40.7,76.5,27.2,63.3,430,9.2,27.2,339,12.9,17.7,726,8.4,22.7,31.1,15.9,7.8,2.0,13.3,20.4
2015,Carpegna Prosciutto Basket Pesaro,0,0,0,30,40.2,76.1,26.9,62.1,434,6.7,21.2,316,15.5,21.2,732,8.7,25.5,34.2,10.5,7.7,1.8,14.1,20.4
2015,Dolomiti Energia Trento,1,0,0,33,40.2,75.7,29.3,64.9,452,5.9,19.5,303,11.1,17.0,654,10.9,22.8,33.7,15.1,9.2,2.9,14.6,18.9
2015,Fiat Torino,0,0,0,30,40.5,75.4,28.6,63.5,451,5.9,19.4,302,12.2,17.8,689,8.3,22.7,31.0,12.4,7.1,2.9,14.0,20.8
2015,OpenJobMetis Varese,0,0,0,30,40.2,75.1,27.1,62.3,435,8.1,22.5,359,12.8,16.6,773,9.3,23.5,32.8,14.2,6.4,2.4,14.9,18.2
2015,Vanoli Cremona,1,0,0,34,40.7,74.9,27.4,62.4,440,7.9,24.2,326,12.1,16.6,729,9.1,24.3,33.3,11.9,6.9,2.6,15.1,21.4
2015,Virtus Bologna,0,0,0,30,40.8,74.6,26.4,63.2,418,7.7,23.9,320,14.1,20.3,695,11.1,23.8,34.8,11.9,7.5,1.6,16.3,21.6
2015,Pasta Reggia JuveCaserta,0,0,0,30,40.3,72.4,26.0,62.9,414,7.5,24.5,308,12.8,18.2,701,9.8,25.1,34.9,12.5,8.7,3.0,15.0,20.5
2015,Orlandina Basket,0,0,0,30,40.2,68.6,25.7,60.8,422,6.3,19.5,324,11.0,15.6,703,9.8,24.9,34.6,13.9,6.3,2.9,16.3,19.7
