#,Player,MVP,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Gary Neal,0,TREV,21,33.0,19.4,7.2,13.9,517,2.2,6.0,368,2.8,3.5,797,0.9,3.3,4.2,2.8,2.0,0.1,3.0,3.2
2,Anthony Grundy,0,FER,22,32.0,18.0,6.4,13.5,473,1.8,4.7,375,3.5,4.7,731,1.1,1.5,2.6,2.1,2.2,0.1,2.7,2.1
3,Pietro Aradori,0,BEI,28,30.3,16.8,5.6,12.1,460,1.7,4.4,393,3.9,4.6,845,1.6,3.4,5.0,1.8,2.1,0.1,2.5,2.4
4,Sharrod Ford,0,FER,16,30.4,16.7,6.0,10.8,558,0.3,0.6,400,4.4,6.8,657,3.0,6.8,9.8,0.4,2.1,3.1,3.2,3.6
5,Ron Slay,0,VAR,10,27.1,15.4,5.1,9.3,548,0.5,1.7,294,4.7,5.6,839,2.4,5.2,7.6,0.6,2.0,0.2,3.2,2.8
6,Michael Hicks,0,PES,28,29.5,15.4,5.9,12.1,484,1.2,3.3,363,2.5,3.4,745,1.8,3.3,5.1,1.6,2.2,0.1,3.0,3.4
7,Troy Bell,0,CRE,28,32.3,15.3,4.6,12.4,374,2.3,6.9,333,3.8,4.3,868,1.2,3.6,4.9,1.9,1.9,0.2,1.6,2.5
8,Dee Brown,0,AVE,28,31.0,15.0,4.9,12.3,400,2.1,6.5,331,3.0,3.9,787,0.5,2.3,2.8,5.1,1.8,0.1,2.9,2.0
9,Romain Sato,1,SANA,38,27.1,14.9,5.0,9.5,522,1.7,3.9,436,3.2,3.8,853,1.7,2.7,4.4,1.2,1.9,0.2,1.2,1.9
10,Ksystof Lavrinovic,0,SANA,30,21.0,14.7,5.0,9.0,557,1.0,2.4,423,3.6,4.7,766,1.6,3.5,5.1,1.0,1.7,0.6,1.4,2.0
11,Aaron Jackson,0,BOL,7,32.1,14.4,4.9,9.0,540,1.7,2.9,600,3.0,4.1,724,1.0,3.7,4.7,4.9,1.9,0.0,2.7,2.0
12,Ebi Ere,0,JUV,36,30.9,14.4,4.8,12.1,400,2.3,6.4,349,2.5,3.3,750,1.1,2.7,3.7,1.6,2.3,0.3,2.1,2.1
