Year,Team,Playoff,Finalist,Winner,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
2005,S.S. Basket Napoli,1,0,0,42,40.5,89.3,30.5,61.0,500,9.6,23.3,410,18.8,23.7,791,9.5,23.5,33.0,9.8,10.4,2.5,15.4,22.7
2005,Fortituto Kontatto Bologna,1,1,0,47,40.5,85.0,29.2,62.1,470,10.2,25.8,397,16.5,22.7,725,11.3,22.2,33.4,14.0,12.3,2.4,15.4,25.4
2005,Virtus Bologna,0,0,0,34,40.1,84.9,29.7,62.7,474,7.5,20.0,374,18.0,24.7,728,11.0,23.2,34.2,13.2,13.6,1.7,16.0,25.2
2005,Pallalcesto Amatori Udine,1,0,0,37,40.3,82.8,28.5,63.0,453,9.6,26.9,358,16.1,22.7,707,9.6,23.7,33.4,11.2,11.3,2.2,15.8,21.6
2005,Grissin Bon Reggio Emilia,0,0,0,34,41.0,82.2,29.6,62.9,471,7.9,21.4,366,15.1,21.0,721,9.1,20.4,29.6,11.5,12.6,2.7,15.6,24.3
2005,Banca Tercas Teramo,0,0,0,34,40.0,81.9,29.7,65.0,457,8.1,24.1,335,14.5,21.6,669,10.5,23.3,33.8,10.5,8.9,1.9,13.9,22.6
2005,AX Armani Exchange Milan,1,0,0,39,40.3,81.8,28.4,59.4,478,9.2,23.9,383,15.8,21.6,730,9.7,24.5,34.2,11.9,12.5,1.3,16.6,24.0
2005,Orlandina Basket,0,0,0,34,40.6,81.7,28.9,62.1,465,7.2,20.7,348,16.7,22.7,735,9.4,21.8,31.2,10.9,11.7,1.6,15.6,21.5
2005,Universo De'Longhi Treviso,1,1,1,47,40.4,81.6,28.1,58.8,478,8.2,21.2,388,17.2,23.4,738,9.3,24.5,33.8,12.7,10.5,3.3,14.9,22.7
2005,TDShop.it Livorno,0,0,0,34,40.7,81.3,28.4,59.0,482,7.3,21.4,343,17.1,24.1,710,10.1,23.3,33.4,12.3,12.2,1.8,18.3,21.5
2005,Mens Sana 1871 Siena,1,0,0,38,40.3,79.8,27.5,59.0,466,9.3,24.3,383,15.5,21.8,712,10.2,23.1,33.2,12.7,13.6,2.3,16.9,22.9
2005,Acqua San Bernardo Cantu,0,0,0,34,40.3,79.4,28.0,59.9,467,8.2,23.1,355,15.2,21.1,720,10.9,19.6,30.5,9.9,13.0,1.1,18.2,21.6
2005,Edilnol Pallacanestro Biella,1,0,0,38,40.3,79.3,27.5,62.6,439,8.4,24.1,349,15.9,22.7,700,11.1,23.6,34.7,12.4,11.2,3.1,15.3,20.9
2005,Virtus Roma,1,0,0,42,40.5,79.2,27.9,58.6,476,7.2,20.5,351,16.2,22.7,713,8.7,22.7,31.5,10.7,14.9,1.8,15.6,23.2
2005,OpenJobMetis Varese,0,0,0,34,40.4,77.1,26.8,57.4,467,7.4,21.5,342,16.1,22.1,730,7.8,21.8,29.5,10.2,13.3,2.3,16.3,21.5
2005,Sidigas Avellino,0,0,0,34,40.0,76.1,26.9,61.9,435,7.1,23.9,298,15.1,21.8,694,11.3,22.1,33.4,11.6,14.1,1.9,17.4,22.0
2005,Viola Reggio Calabria,0,0,0,34,40.4,75.0,27.7,61.8,448,8.5,25.9,330,11.1,17.9,619,9.7,21.6,31.2,10.1,10.7,1.9,18.9,20.4
2005,Roseto Sharks,0,0,0,34,40.0,72.5,25.7,61.2,420,6.7,21.1,317,14.4,19.7,731,11.2,22.7,33.9,11.9,10.2,1.1,14.7,20.5
