#,Player,MVP,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Drake Diener,1,SAS,39,31.5,18.9,6.6,11.8,560,3.1,6.1,500,2.1,2.5,856,0.8,3.5,4.3,2.8,1.1,0.2,1.8,2.0
2,Andre Smith,0,VEN,29,31.2,17.4,6.4,12.3,525,2.2,5.6,404,1.8,2.6,693,1.9,5.3,7.2,2.0,0.9,0.2,2.5,3.6
3,Caleb Green,0,SAS,39,30.1,17.3,5.6,11.1,509,1.7,4.9,349,4.1,5.1,812,1.3,3.5,4.8,1.4,0.9,0.4,2.8,1.9
4,Jason Rich,0,CRE,28,34.1,17.3,7.0,15.3,456,0.6,2.9,207,2.6,3.6,740,1.1,4.8,5.9,3.3,1.4,0.0,2.8,3.3
5,Jerome Dyson,0,NBB,32,29.2,17.2,5.6,12.1,460,1.8,4.9,365,4.2,6.1,692,0.7,3.0,3.7,3.1,1.6,0.0,3.2,2.9
6,James White,0,REG,34,31.9,17.1,6.3,12.5,507,1.0,2.9,347,3.4,3.9,886,0.7,4.3,5.0,1.8,1.0,0.3,2.0,2.7
7,Dwight Hardy,0,BOL,29,32.7,17.1,6.3,12.2,517,1.9,4.3,432,2.1,2.7,792,0.6,1.7,2.2,1.9,0.9,0.1,2.5,2.1
8,Elston Turner,0,PES,31,32.7,17.1,6.5,15.1,433,1.8,5.6,322,1.7,2.5,679,0.4,2.1,2.5,2.1,0.8,0.0,2.6,1.9
9,Adrian Banks,0,VAR,23,31.8,17.0,5.6,11.0,512,1.4,3.0,464,4.3,4.7,899,1.0,1.7,2.7,2.0,0.9,0.0,1.8,1.2
10,Jarrius Jackson,0,CRE,30,33.5,16.9,6.0,12.8,465,1.7,5.2,323,3.1,3.6,860,0.2,2.3,2.5,1.6,0.7,0.1,1.4,1.2
11,Keith Langford,0,MIL,43,28.1,16.7,5.8,11.1,519,1.7,4.2,413,3.3,4.2,793,0.8,2.3,3.1,2.0,0.7,0.2,2.1,2.0
12,Josh Mayo,0,MON,19,31.9,16.2,4.9,10.3,482,2.1,4.6,460,4.0,4.5,884,0.3,2.0,2.3,4.3,0.9,0.1,3.0,2.3
13,Brad Wanamaker,0,PIS,35,32.9,16.2,5.7,10.9,522,0.6,1.3,444,4.1,5.3,775,1.0,2.9,4.0,4.7,1.9,0.2,3.1,2.7
14,Joe Ragland,0,CAN,33,31.0,16.2,5.7,10.9,524,2.4,5.1,462,2.1,2.5,821,0.7,2.8,3.5,3.4,0.9,0.2,2.1,1.9
15,Matt Walsh,0,BOL,28,29.6,15.8,4.9,10.4,476,1.9,5.3,367,3.7,4.5,825,0.8,6.6,7.4,3.4,0.9,0.2,3.3,2.4
16,Daniele Cinciarini,0,MON,30,31.4,15.4,5.1,12.3,414,1.8,4.9,372,3.0,4.1,730,0.7,2.1,2.9,2.0,0.8,0.0,2.7,2.8
17,Will Thomas,0,AVE,30,33.4,15.3,6.2,11.0,565,0.6,1.4,415,2.3,3.3,707,2.8,4.6,7.4,1.3,1.0,0.4,1.2,1.5
18,Pietro Aradori,0,CAN,32,30.6,15.1,4.9,9.9,494,1.5,3.9,387,3.5,4.1,863,0.7,3.9,4.5,2.7,0.7,0.1,2.1,1.6
