#,Player,MVP,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Darius Johnson-Odom,0,CRE,32,28.3,18.8,6.5,13.3,488,2.7,6.8,394,3.2,4.3,745,0.5,2.6,3.1,3.3,0.6,0.3,2.3,2.4
2,Dallas Moore,0,PES,22,36.5,18.7,6.7,14.6,461,1.9,5.5,344,3.4,4.0,831,0.9,2.9,3.7,2.2,1.3,0.0,2.4,1.4
3,Jason Rich,1,AVE,34,29.5,18.5,6.7,13.9,483,1.7,4.3,388,3.4,4.2,810,0.2,2.4,2.6,2.8,0.7,0.0,2.6,2.1
4,Rotnei Clarke,0,PES,11,35.9,17.5,5.8,14.6,398,3.2,8.7,365,2.6,3.0,879,0.5,2.8,3.4,3.0,1.4,0.0,2.1,2.0
5,Randy Culpepper,0,CAN,32,33.2,17.2,5.8,13.3,434,2.2,6.3,351,3.5,5.0,700,0.4,2.9,3.3,3.6,2.1,0.2,2.5,1.7
6,Alessandro Gentile,0,BOL,23,29.8,16.7,7.1,15.9,448,0.6,2.7,206,1.9,3.3,579,1.9,4.4,6.3,3.4,1.1,0.3,2.3,2.7
7,Justin Knox,0,ORL,8,29.4,16.4,7.0,12.1,577,0.3,0.4,667,2.1,3.9,548,2.5,5.8,8.3,0.9,0.5,0.9,2.1,3.0
8,Cady Lalanne,0,NBB,18,30.6,15.7,5.9,11.3,520,0.8,2.8,300,3.1,4.6,683,2.2,7.7,9.9,0.7,0.6,1.3,2.9,3.2
9,Pietro Aradori,0,BOL,30,31.5,15.7,5.4,12.1,445,2.0,5.7,345,3.0,3.5,865,0.6,3.8,4.4,2.3,0.7,0.1,1.9,1.8
10,Andrew Goudelock,0,MIL,37,26.9,15.5,5.9,12.8,457,2.5,6.5,382,1.3,1.6,787,0.3,2.4,2.6,1.8,0.5,0.1,1.4,2.0
11,Stan Okoye,0,VAR,33,31.8,15.1,5.2,12.5,419,2.3,6.0,389,2.3,2.8,806,1.6,5.9,7.5,1.5,1.1,0.3,2.0,2.5
12,Scott Bamforth,0,SAS,29,27.3,14.9,4.9,11.1,440,2.4,5.7,424,2.7,3.2,859,0.6,3.0,3.6,4.1,0.7,0.0,2.0,2.3
13,Gediminas Orelik,0,VEN,15,25.9,14.9,4.7,10.3,452,2.9,7.0,410,2.7,3.1,851,0.9,3.9,4.8,2.9,0.2,0.3,1.9,1.7
14,Marcus Landry,0,BRE,37,28.6,14.6,5.5,13.3,416,1.8,5.7,308,1.8,2.6,705,1.0,3.1,4.1,1.5,0.7,0.2,1.6,2.2
15,Amedeo Della Valle,0,REG,26,29.7,14.6,4.4,11.4,384,1.4,4.8,298,4.4,4.8,905,0.4,2.6,3.0,3.0,1.2,0.1,2.4,1.9
16,Jaime Smith,0,CAN,33,29.7,14.4,4.8,10.2,469,2.0,4.9,401,2.9,3.4,848,0.4,0.9,1.3,4.4,0.7,0.0,2.0,2.2
17,Shavon Shields,0,TREN,41,28.4,14.3,5.6,11.5,482,0.9,2.5,343,2.4,3.0,776,1.0,2.7,3.8,2.5,1.0,0.1,1.6,2.2
18,Eric Mika,0,PES,29,28.4,14.3,5.6,10.3,544,0.0,0.1,250,3.1,4.2,744,2.4,4.9,7.3,1.1,1.2,0.7,2.2,2.5
19,Christian Burns,0,CAN,31,30.5,14.2,5.6,11.1,504,0.7,2.5,276,2.3,3.5,642,2.5,7.5,10.0,1.3,1.3,0.2,1.2,2.8
20,Tyrus McGee,0,PIS,25,27.5,14.1,5.0,11.2,448,2.5,6.3,395,1.5,1.8,844,0.6,2.9,3.5,2.3,1.0,0.2,2.1,2.8
21,Josh Bostic,0,SAS,13,27.5,13.8,4.8,9.5,504,1.9,5.3,362,2.3,2.6,882,0.4,1.9,2.3,2.5,1.4,0.3,1.9,3.8
