#,Player,MVP,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Jacob Pullen,0,BOL,8,28.8,20.5,6.5,13.5,481,2.4,5.3,452,5.1,6.3,820,0.4,1.4,1.8,2.1,1.6,0.1,3.9,1.6
2,Kevinn Pinkney,0,BEI,11,33.5,20.0,7.5,12.5,599,0.6,2.0,318,4.5,5.9,754,3.4,4.8,8.2,0.8,1.5,0.5,2.5,3.9
3,Jonathan Gibson,0,NBB,30,29.5,18.3,6.3,14.1,445,2.2,6.6,335,3.6,4.4,805,0.6,2.1,2.7,2.0,1.4,0.0,3.1,3.1
4,Donell Taylor,0,REG,37,30.6,18.2,7.0,16.3,429,1.9,5.5,346,2.4,3.3,727,0.8,3.8,4.6,2.4,2.0,0.2,3.7,2.8
5,Bobby Brown,0,SANA,49,30.4,17.3,5.7,13.5,423,2.1,5.7,361,3.8,4.6,815,0.3,1.8,2.1,3.5,0.7,0.0,3.1,2.0
6,Drake Diener,0,SAS,36,32.9,17.1,5.9,11.1,529,2.2,5.0,436,3.1,3.7,850,1.5,3.3,4.8,3.1,1.2,0.1,1.8,1.9
7,Travis Diener,0,SAS,36,33.8,16.5,5.8,12.9,449,2.1,5.5,387,2.8,3.2,868,0.3,2.5,2.8,7.1,1.3,0.0,2.2,1.1
8,Trey Johnson,0,BEI,22,34.8,16.4,6.6,13.7,483,1.3,2.8,468,1.8,2.3,784,0.3,3.0,3.4,2.8,1.1,0.0,3.8,2.8
9,Rok Stipcevic,0,PES,17,32.5,16.3,5.2,12.1,427,2.6,6.8,388,3.3,3.9,848,0.4,2.6,3.1,2.7,1.4,0.0,2.6,2.3
10,Gigi Datome,1,ROM,48,33.1,16.2,5.3,11.3,466,1.8,4.5,396,3.9,4.2,926,1.7,4.1,5.8,1.7,1.4,0.8,2.4,2.4
11,Lance Harris,0,CRE,24,31.3,15.8,6.1,13.6,448,1.3,3.5,353,2.4,3.3,744,1.1,3.4,4.5,1.8,1.0,0.1,2.3,2.3
12,Daniele Cinciarini,0,MON,30,32.3,15.3,5.5,12.3,449,1.4,4.1,344,2.8,3.8,746,0.6,1.7,2.3,1.1,1.0,0.0,2.1,2.8
13,Antwain Barbour,0,PES,30,33.4,15.1,5.3,12.2,436,2.4,6.3,378,2.1,3.3,633,1.1,2.8,3.9,2.3,1.8,0.4,2.4,1.9
14,Christian Burns,0,MON,30,26.7,14.9,6.0,11.4,525,0.8,2.0,407,2.1,2.7,775,3.1,4.0,7.0,0.7,1.2,0.2,2.0,2.4
15,Jaka Lakovic,0,AVE,12,31.0,14.8,4.3,8.9,477,2.4,5.6,433,3.9,4.8,825,0.3,2.3,2.6,4.8,1.6,0.0,4.2,2.5
16,Keith Langford,0,MIL,29,27.0,14.8,4.9,9.8,500,1.5,3.4,434,3.5,4.3,815,0.8,2.3,3.1,1.9,1.0,0.1,2.4,2.7
17,Joe Ragland,0,CAN,15,27.7,14.4,5.3,11.7,455,1.7,4.6,377,2.0,2.3,857,0.7,1.8,2.5,3.0,1.1,0.2,2.9,3.5
18,Hrvoje Peric,0,CRE,23,28.8,14.3,5.8,12.0,486,0.4,1.8,238,2.2,3.3,680,1.9,4.1,6.0,1.6,1.1,0.3,3.0,2.9
19,Kee-Kee Clark,0,VEN,30,30.1,14.2,4.9,10.6,461,2.4,6.0,394,2.0,2.5,824,0.4,2.0,2.4,2.6,1.1,0.0,1.6,2.1
20,Bryant Dunston,0,VAR,41,28.4,14.2,5.4,8.8,618,0.0,0.0,0,3.3,4.5,737,2.5,4.9,7.4,0.8,2.1,2.1,1.8,2.9
