#,Player,MVP,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Frank Gaines,0,CAN,13,31.4,22.3,6.5,16.0,404,3.1,9.2,333,6.3,7.2,872,0.6,3.2,3.8,1.6,1.4,0.1,2.5,3.2
2,Luis Scola,0,VAR,28,29.6,17.8,6.1,12.5,490,2.1,4.9,428,3.4,4.8,716,1.3,5.4,6.7,1.1,0.8,0.4,2.2,2.4
3,Jacorey Williams,0,TREN,29,29.5,17.8,7.6,13.1,576,0.0,0.0,0,2.7,3.9,690,2.4,5.3,7.8,1.2,0.8,0.5,2.4,2.5
4,David Logan,0,TREV,30,28.4,17.3,6.3,14.2,444,3.2,8.2,396,1.5,1.9,789,0.3,1.9,2.2,2.9,1.5,0.1,1.4,2.2
5,D'Angelo Harrison,0,NBB,25,28.1,16.8,4.6,11.4,402,2.0,6.1,336,5.6,6.2,891,0.5,3.4,3.8,3.7,1.2,0.1,2.4,2.9
6,Adrian Banks,0,BOL,27,33.8,16.8,5.5,12.4,443,2.4,6.6,362,3.4,3.9,858,0.4,2.2,2.6,4.4,0.7,0.0,3.0,1.5
7,Eimantas Bendzius,0,SAS,32,31.3,16.6,5.1,10.4,488,2.8,6.1,454,3.7,4.3,842,0.9,3.2,4.1,1.6,1.1,0.1,1.6,2.1
8,Daulton Hommes,0,CRE,28,31.1,16.4,5.5,11.8,468,2.9,6.9,427,2.5,2.9,863,1.0,3.6,4.6,1.7,0.6,0.6,1.1,3.0
9,Miro Bilan,0,SAS,33,27.5,16.3,6.0,10.1,598,0.2,0.5,467,4.0,5.6,719,2.6,5.0,7.7,1.8,0.8,0.5,2.2,2.6
10,Stefano Tonut,1,VEN,33,29.1,15.6,5.6,11.9,468,1.9,5.3,360,2.6,3.2,810,0.4,3.5,3.9,2.9,1.3,0.2,2.1,2.1
