Year,Team,Playoff,Finalist,Winner,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
2013,Banco di Sardegna Sassari,1,0,0,39,40.1,84.4,29.7,61.3,484,10.4,27.1,384,12.6,15.8,799,8.6,21.7,30.4,16.7,8.0,1.9,13.3,17.3
2013,AX Armani Exchange Milan,1,1,1,48,40.2,80.2,28.9,59.8,484,8.2,22.1,371,12.9,17.9,723,9.3,24.4,33.6,13.1,6.4,2.7,13.5,21.0
2013,Acqua San Bernardo Cantu,1,0,0,33,40.5,79.8,27.9,57.7,483,9.8,24.5,398,12.4,15.5,799,7.6,22.7,30.3,15.4,5.6,2.7,13.2,18.3
2013,Umana Venezia,0,0,0,30,40.0,79.8,29.9,61.6,485,7.5,21.0,356,11.8,15.5,760,9.5,24.1,33.6,15.0,6.2,2.3,16.5,21.3
2013,OpenJobMetis Varese,0,0,0,30,40.2,79.6,28.8,61.9,466,9.0,24.7,364,11.8,14.9,796,9.7,19.9,29.6,12.1,5.8,2.2,12.6,19.5
2013,Carpegna Prosciutto Basket Pesaro,0,0,0,31,41.0,78.9,28.4,62.9,451,6.7,21.8,307,14.0,20.1,695,11.1,22.9,34.0,9.2,6.9,1.7,14.2,18.8
2013,Grissin Bon Reggio Emilia,1,0,0,35,40.0,78.6,28.9,59.1,488,7.2,20.1,360,12.8,16.1,795,7.7,22.8,30.5,13.9,6.9,3.5,12.9,22.2
2013,Virtus Bologna,0,0,0,30,40.3,77.8,28.1,58.5,480,6.9,20.1,346,13.1,18.1,724,8.2,23.5,31.7,12.0,5.9,3.7,16.0,20.4
2013,Sutor Montegranaro,0,0,0,30,40.2,77.6,26.9,60.9,442,8.5,24.0,355,14.4,18.6,771,10.5,20.6,31.2,11.7,4.9,1.2,14.2,18.4
2013,Mens Sana 1871 Siena,1,1,0,47,40.1,77.0,27.4,59.2,463,8.7,24.4,358,12.0,15.8,758,9.5,21.1,30.6,13.4,5.7,2.8,11.3,19.4
2013,Virtus Roma,1,0,0,38,40.4,77.0,26.5,57.8,459,8.1,23.0,351,14.9,18.3,815,8.9,21.4,30.3,12.8,7.6,2.6,13.9,20.1
2013,Sidigas Avellino,0,0,0,30,40.3,76.4,26.1,58.6,446,8.7,25.6,339,14.2,18.4,770,9.2,22.2,31.4,15.1,5.4,1.2,13.4,17.2
2013,Georgio Tesi Group Pistoia,1,0,0,35,40.6,76.2,26.7,60.0,445,5.9,17.0,345,15.6,21.3,732,8.7,24.9,33.6,11.5,6.0,3.2,13.9,20.3
2013,Vanoli Cremona,0,0,0,30,40.2,76.2,27.7,59.5,466,7.2,21.5,334,12.2,15.6,780,7.8,22.8,30.6,10.0,5.4,1.7,12.7,17.4
2013,Enel Brindisi,1,0,0,33,40.1,75.6,26.6,60.3,441,7.8,24.4,320,13.1,17.9,730,9.2,23.7,32.9,11.1,7.3,2.5,14.4,20.4
2013,Pasta Reggia JuveCaserta,0,0,0,31,40.3,73.6,26.7,59.6,448,5.8,19.1,305,13.5,18.5,729,9.9,22.7,32.6,11.6,8.2,2.2,13.0,17.3
