#,Player,MVP,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Charlie Bell,0,LIV,34,37.5,25.5,8.5,20.2,422,4.2,11.3,372,4.3,5.5,775,1.0,2.4,3.4,2.4,2.4,0.0,3.6,2.0
2,Mario Boni,0,TER,34,30.9,23.8,6.7,17.4,388,2.7,7.0,389,7.6,8.8,863,1.3,3.8,5.1,1.4,1.3,0.0,3.7,3.8
3,Alphonso Ford,0,PES,37,32.2,22.2,7.9,14.9,533,1.9,4.0,463,4.5,5.2,859,1.0,2.0,3.0,2.3,1.9,0.1,3.5,2.9
4,Mike Penberthy,0,SS,36,31.5,20.4,6.6,12.9,513,3.1,7.0,435,4.0,4.2,954,0.2,1.4,1.6,1.4,1.7,0.0,3.2,2.9
5,Carlton Myers,0,ROM,35,30.8,19.9,5.9,13.7,426,2.7,6.9,398,5.5,6.2,880,0.6,2.1,2.7,2.5,2.0,0.1,3.0,3.1
6,Matt Bonner,0,MESS,33,36.8,19.2,7.0,12.8,544,1.2,3.2,362,4.1,5.1,814,2.7,6.6,9.3,0.8,1.5,0.3,2.3,3.0
7,Tyrone Grant,0,TER,23,32.8,19.0,6.9,11.8,581,0.4,1.0,455,4.8,6.6,735,3.4,4.8,8.2,2.0,2.4,0.3,3.3,3.5
8,Marlon Garnett,0,MESS,31,37.7,18.9,6.4,14.3,446,2.8,6.4,437,3.4,3.7,905,0.5,1.8,2.4,1.7,1.7,0.1,3.1,2.6
9,Norman Nolan,0,ROS,33,31.3,18.8,7.1,13.6,525,1.5,3.8,384,3.1,4.7,652,1.5,5.2,6.8,1.5,1.8,0.5,3.0,3.2
10,Maurice Evans,0,TREV,32,30.5,18.5,6.7,12.9,521,2.3,5.2,452,2.7,3.5,775,1.1,3.1,4.2,1.3,1.3,0.3,2.4,2.8
11,Larry Middleton,0,AVE,32,29.4,17.7,5.8,12.9,449,3.2,7.6,422,2.8,3.3,867,0.7,2.5,3.2,1.5,1.8,0.1,2.6,2.8
12,Arijan Komazec,0,AVE,28,33.4,17.6,6.3,11.0,566,1.5,3.4,438,3.6,3.8,943,1.4,2.6,4.0,1.6,2.4,0.2,3.0,3.5
13,Luke Recker,0,ROS,32,31.5,17.2,5.5,11.7,475,3.2,7.7,409,3.0,3.5,848,0.6,2.3,2.8,1.6,2.1,0.1,2.7,3.2
14,Keith Carter,0,TER,34,34.8,17.2,5.8,13.1,439,2.4,6.7,360,3.2,3.9,840,0.6,2.2,2.8,1.9,2.3,0.1,2.0,2.5
15,Samuel Hines,0,CAN,37,32.0,16.8,5.7,12.2,464,2.3,5.7,401,3.2,3.8,831,2.2,4.2,6.5,1.0,1.9,0.1,2.7,3.2
16,Tyus Edney,0,TREV,31,27.4,16.7,6.0,10.6,567,1.2,2.8,430,3.5,4.1,852,0.8,2.5,3.3,3.4,1.7,0.0,2.3,1.6
17,DeMarco Johnson,0,BEI,15,31.9,16.7,6.3,12.7,495,0.1,0.5,143,4.1,4.9,836,1.5,5.3,6.7,0.6,1.6,0.3,2.4,3.3
18,Nate Johnson,0,CAN,37,29.8,16.4,6.5,12.7,510,0.5,2.2,222,2.9,3.9,762,1.5,2.6,4.1,1.1,1.9,0.4,2.9,3.0
19,Doremus Bennerman,0,TER,15,30.2,16.1,5.5,11.3,485,2.9,6.7,436,2.3,2.5,919,0.1,1.5,1.6,3.1,1.2,0.0,1.9,3.1
20,Bootsy Thornton,0,SANA,43,30.8,15.9,5.5,10.1,539,1.0,2.6,381,4.0,4.8,821,1.8,3.8,5.7,2.7,2.5,0.2,2.8,2.7
21,Milos Vujanic,0,BOL,40,28.9,15.7,4.8,10.2,465,2.2,5.7,380,4.1,5.0,818,0.5,1.6,2.1,2.4,1.7,0.0,2.3,2.8
22,J.J. Eubanks,0,VRC,28,26.9,15.7,5.6,11.0,511,1.2,3.1,375,3.3,3.5,939,0.7,2.4,3.1,0.5,0.9,0.1,1.8,1.5
23,Jerry McCullough,0,VAR,34,30.2,15.5,4.6,10.5,441,0.9,2.8,326,5.3,6.5,814,1.4,2.4,3.8,3.1,3.0,0.1,3.0,2.6
24,Cookie Belcher,0,BEI,22,27.0,15.4,5.3,10.7,496,2.0,5.1,402,2.7,3.6,759,0.6,3.1,3.8,2.3,2.4,0.9,3.0,2.6
25,Alvin Sims,0,TRIE,24,31.1,15.4,5.5,11.5,478,1.0,3.4,293,3.4,5.1,659,1.5,2.5,4.0,2.2,3.5,0.1,2.7,3.3
26,DeWayne Jefferson,0,ROS,18,30.6,15.3,5.9,11.6,512,1.8,5.3,344,1.6,2.1,737,1.6,2.4,3.9,2.8,2.3,0.2,2.2,3.2
27,Sharif Fajardo,0,TRIE,28,31.9,15.1,4.8,11.9,401,0.9,2.5,371,4.7,5.9,789,2.2,5.1,7.3,0.6,2.0,0.4,3.4,2.9
28,Petar Naumoski,0,MIL,12,29.7,15.1,4.5,10.3,435,2.4,5.7,426,3.7,4.4,830,0.4,1.6,2.0,3.1,1.3,0.1,2.9,1.8
29,K'Zell Wesson,0,ROS,33,31.4,14.9,5.7,10.1,560,0.3,1.1,297,3.3,5.2,632,2.8,6.6,9.5,2.3,1.6,0.5,3.3,2.8
30,Marko Tusek,0,ROM,36,31.2,14.9,5.6,11.1,500,1.6,3.9,394,2.3,2.9,779,2.2,3.8,5.9,1.0,1.8,0.3,1.9,2.3
31,Sasha Vujacic,0,PAU,32,28.4,14.8,4.3,10.3,414,1.8,5.6,326,4.5,5.4,827,0.9,2.9,3.8,2.3,2.3,0.2,2.3,2.9
32,Hugo Ariel Sconochini,0,MIL,29,28.3,14.8,5.1,9.6,529,1.0,2.7,380,3.7,4.7,779,1.2,3.6,4.8,2.3,3.0,0.2,2.7,3.0
33,Oscar Torres,0,SS,39,28.5,14.7,5.3,10.4,511,2.1,4.7,435,2.1,2.9,702,1.2,3.7,4.9,0.8,2.3,0.1,2.0,2.8
34,Jerome Allen,0,SS,39,34.9,14.6,4.8,11.2,431,1.6,4.8,324,3.4,4.6,749,0.9,4.3,5.2,3.2,2.4,0.1,2.2,2.3
35,James Forrest,0,LIV,12,30.2,14.6,5.7,10.8,527,0.0,0.1,0,3.3,4.2,780,1.8,5.8,7.6,0.4,0.8,0.4,2.1,2.7
36,Jorge Garbajosa,0,TREV,34,29.3,14.2,4.5,8.9,503,1.0,3.1,321,4.2,5.0,830,1.4,4.4,5.8,1.8,2.3,0.6,1.8,2.4
37,Sinisa Kelecevic,0,PAU,34,28.2,13.8,5.0,8.8,563,1.1,2.6,432,2.7,3.2,852,1.4,3.6,5.0,0.8,1.4,0.2,2.2,2.9
38,Dante Calabria,0,CAN,37,29.9,13.6,4.4,9.8,442,2.5,6.3,397,2.4,2.6,907,0.6,2.5,3.1,1.3,1.7,0.0,1.6,2.3
39,Glenn Sekunda,0,PAU,27,24.9,13.6,4.4,8.9,502,1.1,2.8,408,3.6,4.3,835,1.2,3.3,4.4,1.3,1.5,0.1,2.3,3.3
40,Keith McLeod,0,ROM,14,30.1,13.5,4.9,11.8,418,1.4,5.1,268,2.3,3.5,653,0.4,2.7,3.1,3.1,2.1,0.1,2.5,4.0
41,Gianluca Basile,1,BOL,34,26.4,13.4,4.1,9.5,435,2.1,4.9,435,2.9,3.4,846,0.3,2.3,2.6,1.9,1.8,0.1,1.3,2.5
42,Tyrone Nesby,0,VAR,17,25.2,13.4,4.9,11.5,423,1.4,4.4,311,2.2,2.4,927,0.7,1.9,2.6,1.1,0.9,0.2,1.9,1.9
43,Ademola Okulaja,0,TREV,8,29.4,13.3,4.8,8.0,594,1.1,2.9,391,2.6,3.3,808,1.5,4.9,6.4,1.3,2.0,0.0,1.5,1.6
44,Martin Rancik,0,MIL,23,25.8,13.0,5.0,10.5,477,0.3,0.8,389,2.7,3.1,861,1.4,4.2,5.7,0.4,1.3,0.7,2.0,2.5
45,Lonnie Cooper,0,MIL,34,29.7,12.9,4.6,11.2,407,2.2,6.7,325,1.6,1.8,885,0.4,2.4,2.7,2.6,1.4,0.1,2.0,3.0
46,Eddie Shannon,0,PAU,34,30.6,12.9,4.4,9.1,482,1.3,3.8,341,2.7,3.3,830,0.8,1.9,2.7,2.8,1.9,0.0,2.6,2.8
47,Vrbica Stefanov,0,SANA,42,29.3,12.8,4.5,8.7,520,1.6,3.8,413,2.2,2.5,858,0.7,1.9,2.6,2.6,1.7,0.0,1.1,1.8
48,Billy Thomas,0,TRIE,25,30.9,12.7,4.8,11.2,430,2.4,6.7,365,0.7,0.9,739,0.9,2.0,2.9,1.3,1.8,0.1,1.8,2.1
49,David Vanterpool,0,SANA,43,25.6,12.7,3.8,8.8,438,0.9,2.4,375,4.1,5.2,778,1.4,3.3,4.7,2.5,2.5,0.1,2.8,3.0
50,Rico Hill,0,MESS,10,31.2,12.6,5.1,12.4,411,1.1,4.5,244,1.3,2.1,619,0.9,2.1,3.0,1.6,1.8,0.2,2.7,3.9
51,Marko Milic,0,PES,41,26.6,12.6,4.7,8.4,562,0.2,0.5,409,2.9,4.3,672,2.1,3.2,5.3,1.1,2.0,0.1,2.0,2.3
52,Brian Oliver,0,TRIE,20,31.0,12.5,4.7,10.2,458,0.5,1.7,303,2.7,2.9,914,2.1,1.6,3.6,1.3,1.5,0.0,2.1,3.2
53,Agostino Antonio Li Vecchi,0,MESS,15,25.5,12.4,4.1,8.4,492,1.0,2.3,441,3.1,3.6,870,0.5,3.2,3.7,1.1,1.6,0.4,1.6,2.5
54,Fabio Di Bella,0,BEI,34,29.9,12.3,4.3,9.1,471,1.1,2.9,367,2.7,3.7,738,0.8,2.0,2.8,3.5,2.7,0.0,2.3,2.8
55,Diego Fajardo,0,VRC,34,28.4,12.3,4.3,8.5,507,0.6,2.1,268,3.1,4.6,686,2.0,4.5,6.5,0.8,2.3,0.3,2.1,3.4
56,Chris Massie,0,AVE,33,27.6,12.1,4.9,8.6,576,0.5,1.3,386,1.7,2.8,615,2.3,5.2,7.5,0.7,2.0,0.5,2.7,3.5
57,Tyson Wheeler,0,CAN,36,30.7,11.9,4.0,9.9,403,2.1,5.8,359,1.8,2.4,767,0.9,2.2,3.1,3.0,1.5,0.0,1.8,2.6
58,Marco Carraretto,0,BEI,28,27.8,11.9,4.0,9.3,429,2.2,5.6,391,1.8,2.1,833,0.3,1.8,2.0,0.8,1.5,0.1,1.4,2.3
