#,Player,MVP,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Von Wafer,0,CRE,9,31.8,20.1,6.4,14.2,453,1.6,5.4,286,4.8,5.8,827,0.0,3.2,3.2,1.8,2.4,0.2,3.4,1.1
2,Andre Smith,0,JUV,32,33.1,18.4,6.9,12.3,558,1.2,3.2,363,3.5,4.6,750,2.6,5.0,7.7,1.1,1.5,0.3,2.4,3.0
3,Aubrey Coleman,0,BEI,32,32.4,18.2,6.9,14.6,476,0.7,3.0,242,3.6,5.1,707,1.7,2.8,4.5,2.0,3.3,0.1,3.3,2.4
4,Chevon Troutman,0,AVE,1,30.0,18.0,8.0,13.0,615,0.0,0.0,0,2.0,2.0,1.00,5.0,4.0,9.0,0.0,2.0,0.0,2.0,5.0
5,James White,0,PES,39,33.5,17.1,6.2,11.7,531,0.8,2.7,299,3.8,5.2,741,0.8,3.8,4.6,2.7,1.4,0.3,2.8,3.0
6,Drake Diener,0,SAS,38,35.0,16.7,6.0,12.1,498,1.9,4.9,389,2.8,3.4,820,1.3,3.6,4.9,3.1,1.4,0.1,2.1,1.8
7,Jason Rich,0,CRE,14,33.1,16.1,6.4,12.7,506,1.1,3.4,319,2.2,2.6,861,0.4,2.9,3.4,2.0,1.9,0.1,2.6,3.1
8,Marques Green,0,AVE,32,37.3,16.1,5.3,13.0,405,2.8,6.9,401,2.7,3.1,870,0.7,3.8,4.5,6.5,2.4,0.0,4.0,2.3
9,Ricky Hickman,0,PES,41,32.7,16.0,5.3,10.9,487,2.1,5.5,384,3.5,4.3,811,0.4,2.5,2.9,2.9,1.6,0.3,3.4,2.9
10,Mustafa Shakur,0,NCM,21,32.5,16.0,5.4,13.2,406,1.0,3.8,266,4.3,5.4,796,0.9,3.0,3.8,4.3,1.5,0.3,4.0,2.6
11,Jacob Pullen,0,BEI,32,34.3,16.0,5.4,12.8,421,2.0,5.8,341,3.3,4.3,748,0.3,1.5,1.8,3.2,1.8,0.0,3.7,2.4
12,Taqwa Pinero,0,AVE,22,33.6,16.0,5.0,12.4,408,2.7,6.7,405,2.9,3.3,877,0.7,3.0,3.8,1.7,1.8,0.1,2.0,3.0
13,Sean May,0,MON,8,24.9,15.5,6.3,10.8,581,0.3,0.9,286,2.8,3.0,917,2.4,3.6,6.0,1.0,0.1,0.5,1.5,3.0
14,Clay Tucker,0,ROM,32,34.2,15.4,5.3,12.8,412,2.1,5.8,362,2.7,3.2,853,0.2,3.7,3.9,3.1,1.2,0.1,2.6,2.2
15,Jared Homan,0,BOL,4,31.0,15.3,6.8,13.5,500,0.0,0.3,0,1.8,4.8,368,3.5,6.5,10.0,1.0,1.0,0.0,3.3,2.0
16,Yakhouba Diawara,0,VAR,36,30.5,15.2,5.3,11.5,458,1.8,5.0,367,2.7,3.5,776,2.5,2.8,5.2,1.5,1.4,0.1,2.6,3.1
17,Ivan Zoroski,0,MON,28,28.8,15.0,4.4,9.9,448,2.1,5.8,373,4.0,4.7,841,0.9,2.1,2.9,3.0,1.4,0.0,2.3,2.6
18,Kee-Kee Clark,0,VEN,34,31.4,14.9,4.9,11.0,447,2.3,5.7,399,2.8,3.7,768,0.4,1.9,2.2,3.0,1.4,0.0,1.7,1.6
19,Quinton Hosley,0,SAS,37,30.6,14.5,5.3,14.2,375,1.7,5.2,320,2.2,3.0,714,1.3,3.9,5.2,2.4,2.2,0.3,3.1,2.5
20,Petteri Koponen,0,BOL,35,33.3,14.3,4.8,10.5,458,1.6,4.4,373,3.1,3.9,781,0.5,2.5,3.0,2.6,1.0,0.0,2.1,2.4
21,Bo McCalebb,1,SANA,43,26.0,14.2,5.1,8.8,578,0.7,1.9,386,3.2,4.1,775,1.0,1.8,2.8,3.4,1.3,0.1,1.3,1.8
22,Gigi Datome,0,ROM,25,26.8,14.1,5.1,9.6,531,1.5,3.5,432,2.4,2.6,923,1.2,3.8,5.0,1.2,1.3,0.3,2.0,2.6
23,David Andersen,0,SANA,38,24.0,13.9,5.1,10.1,508,0.6,1.5,429,3.1,3.6,855,1.1,4.0,5.1,1.4,0.3,0.3,1.8,2.4
24,Travis Diener,0,SAS,35,33.0,13.8,5.1,11.5,442,2.1,5.3,402,1.5,2.0,771,0.5,2.6,3.1,5.7,1.0,0.0,2.6,1.7
25,Andre Collins,0,JUV,32,32.6,13.3,4.4,11.5,380,2.1,6.7,319,2.5,2.9,840,0.5,2.5,3.0,5.2,1.7,0.0,2.9,2.3
26,Jeff Adrien,0,TREV,9,29.0,13.3,4.8,9.7,494,0.0,0.1,0,3.8,5.8,654,2.2,6.8,9.0,0.3,1.1,0.8,2.0,2.0
