Year,Team,Playoff,Finalist,Winner,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
2016,AX Armani Exchange Milan,1,0,0,39,40.0,84.6,30.9,62.8,493,8.2,21.5,382,14.5,19.7,736,10.0,25.0,35.0,18.8,7.7,2.3,16.5,21.6
2016,Enel Brindisi,0,0,0,30,40.7,83.2,29.8,64.9,459,10.1,26.6,379,13.5,18.5,727,8.3,23.5,31.9,15.9,7.6,2.8,15.2,21.0
2016,Fiat Torino,0,0,0,30,40.5,81.8,28.5,64.3,444,8.5,23.5,363,16.2,20.7,785,8.5,25.7,34.2,15.1,5.7,2.1,13.9,19.1
2016,Grissin Bon Reggio Emilia,1,0,0,33,40.3,80.8,28.7,62.8,457,8.8,25.2,349,14.6,19.0,770,8.0,22.5,30.5,16.2,7.4,3.6,14.0,21.1
2016,Umana Venezia,1,1,1,46,40.5,80.0,29.0,65.5,443,10.8,29.2,370,11.1,15.3,729,9.8,22.6,32.4,16.7,7.5,2.3,14.5,21.4
2016,Sidigas Avellino,1,0,0,39,40.4,79.6,28.7,60.2,477,9.9,25.0,395,12.4,17.5,708,8.4,24.6,33.1,18.3,6.9,2.7,15.0,17.9
2016,Vanoli Cremona,0,0,0,30,40.2,79.0,28.7,63.1,454,8.1,23.9,341,13.5,17.9,755,8.6,24.4,33.0,14.5,6.6,3.1,14.0,18.7
2016,Gemani Basket Brescia,0,0,0,30,40.2,78.7,27.9,62.2,449,8.6,24.0,357,14.2,19.2,740,8.6,23.8,32.4,16.7,7.2,2.1,13.9,18.5
2016,Pasta Reggia JuveCaserta,0,0,0,30,40.5,77.9,27.7,62.7,442,8.4,24.2,348,14.0,19.5,719,8.3,26.1,34.4,14.2,8.0,3.8,15.7,21.1
2016,Acqua San Bernardo Cantu,0,0,0,30,40.2,77.8,28.9,63.3,457,7.8,21.6,359,12.3,16.4,748,9.0,21.4,30.3,16.8,6.6,2.8,14.0,19.0
2016,Dolomiti Energia Trento,1,1,0,44,40.2,77.5,28.2,64.4,437,6.9,21.5,321,14.3,21.2,675,10.8,24.0,34.7,14.8,9.7,1.7,14.3,19.1
2016,OpenJobMetis Varese,0,0,0,30,40.3,77.3,28.4,64.2,442,7.2,21.7,333,13.3,18.3,729,9.6,24.3,34.0,13.7,6.1,3.3,14.1,21.1
2016,Georgio Tesi Group Pistoia,1,0,0,34,40.4,76.9,29.6,66.2,447,6.9,21.9,313,10.8,14.4,748,9.0,24.7,33.7,17.2,6.5,2.3,14.6,20.7
2016,Orlandina Basket,1,0,0,34,40.3,76.6,27.7,60.8,456,8.2,22.4,367,12.9,16.5,783,8.1,23.1,31.2,15.5,7.7,2.0,15.9,18.6
2016,Carpegna Prosciutto Basket Pesaro,0,0,0,30,40.3,76.2,27.5,61.7,445,8.0,23.3,345,13.1,17.7,741,7.6,24.2,31.8,12.1,7.2,1.9,13.6,18.8
2016,Banco di Sardegna Sassari,1,0,0,33,40.0,75.5,26.6,60.5,441,9.7,27.0,360,12.5,16.2,774,8.9,22.0,30.9,15.1,6.8,2.2,14.1,18.2
