Year,Team,Playoff,Finalist,Winner,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
2021,Banco di Sardegna Sassari,1,0,0,37,40.4,85.1,30.3,65.2,464,10.4,27.9,374,14.1,17.9,786,9.6,25.5,35.1,18.9,7.8,1.8,12.1,20.2
2021,Virtus Bologna,1,1,0,42,40.4,84.9,31.0,63.1,492,8.6,23.1,373,14.2,19.7,722,10.2,30.0,40.2,21.5,6.9,2.3,13.6,19.6
2021,Gemani Basket Brescia,1,0,0,34,40.0,84.6,29.9,64.7,462,9.9,26.7,372,14.8,19.4,764,10.2,25.8,36.1,16.6,8.3,2.3,12.5,20.7
2021,AX Armani Exchange Milan,1,1,1,42,40.2,82.5,29.9,63.4,471,9.9,26.9,369,12.8,16.6,773,10.4,26.2,36.6,18.5,7.5,2.5,10.3,18.3
2021,OpenJobMetis Varese,0,0,0,30,40.2,82.3,29.5,68.4,431,9.7,29.5,330,13.6,18.5,734,11.8,25.0,36.9,16.2,6.0,1.7,11.0,20.0
2021,Enel Brindisi,0,0,0,30,40.5,81.3,29.6,65.5,451,9.8,26.9,366,12.4,17.8,695,10.9,26.3,37.3,16.4,6.2,1.7,12.7,19.3
2021,Fortituto Kontatto Bologna,0,0,0,30,40.2,81.0,28.2,62.1,454,9.2,25.6,359,15.4,21.1,731,9.2,24.0,33.2,16.0,6.6,2.0,10.6,18.0
2021,Napoli Basket,0,0,0,30,40.5,79.8,28.4,64.6,440,8.1,25.1,322,14.8,20.4,724,10.9,28.1,39.0,15.1,6.6,3.5,13.5,18.9
2021,Pallacanestro Trieste 2004,0,0,0,30,40.7,79.7,29.5,62.4,473,7.5,22.0,340,13.2,17.6,747,8.7,28.0,36.8,17.4,4.9,2.8,13.4,18.7
2021,Vanoli Cremona,0,0,0,30,40.5,79.5,29.1,65.9,441,8.1,24.6,330,13.3,17.4,763,10.1,25.9,36.0,15.0,6.8,3.0,12.8,18.9
2021,Grissin Bon Reggio Emilia,1,0,0,33,40.9,79.2,28.1,64.1,438,9.4,27.0,349,13.6,18.4,743,10.8,25.0,35.8,19.4,7.5,1.7,10.7,19.9
2021,Universo De'Longhi Treviso,0,0,0,30,40.5,78.9,27.4,63.3,433,9.9,28.2,352,14.1,18.0,780,10.3,26.2,36.6,16.3,6.7,2.0,12.4,19.5
2021,Bertram Tortona,1,0,0,37,40.3,78.7,28.7,64.9,442,9.9,26.8,370,11.4,14.9,769,10.2,25.8,36.0,17.1,6.6,2.0,11.8,18.9
2021,Carpegna Prosciutto Basket Pesaro,1,0,0,33,40.5,78.5,28.5,63.0,452,8.7,24.5,355,12.8,17.2,743,10.8,24.9,35.7,14.7,7.2,2.0,13.3,19.5
2021,Dolomiti Energia Trento,0,0,0,30,40.7,78.1,28.6,65.9,435,8.0,22.5,355,12.8,18.5,692,11.0,25.8,36.8,12.2,6.6,2.2,11.7,18.0
2021,Umana Venezia,1,0,0,34,40.1,76.1,26.9,61.6,436,9.3,27.9,333,13.1,17.8,736,9.5,26.0,35.6,16.5,6.2,2.8,12.2,19.5
