#,Player,MVP,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Marcus Landry,1,BRE,30,33.0,19.6,6.6,14.6,454,2.7,6.7,401,3.6,4.5,806,1.0,3.6,4.6,1.5,0.9,0.6,1.6,2.9
2,Rotnei Clarke,0,PES,8,35.5,19.5,6.5,11.4,571,2.8,5.9,468,3.8,3.9,968,0.6,2.4,3.0,2.9,1.0,0.0,2.5,1.5
3,Edgar Sosa,0,JUV,22,32.0,19.3,6.5,16.0,403,1.8,5.5,331,4.5,5.6,806,0.3,2.5,2.8,5.9,1.2,0.1,3.6,2.1
4,Jarrod Jones,0,PES,29,33.3,19.2,7.1,15.2,470,1.0,3.3,309,3.9,5.0,774,2.3,7.8,10.1,1.8,1.5,0.6,2.6,3.0
5,JaJuan Johnson,0,CAN,30,32.7,19.0,7.2,13.7,527,1.1,2.5,421,3.4,4.3,805,2.5,4.7,7.2,1.3,1.3,1.4,2.4,2.6
6,Amath M'Baye,0,NBB,30,32.5,17.8,6.7,13.1,508,1.7,4.3,388,2.8,3.8,737,1.0,4.3,5.3,2.5,0.8,1.0,2.8,2.7
7,Darius Johnson-Odom,0,CRE,13,32.3,17.7,6.0,11.5,520,2.3,5.8,400,3.4,5.2,647,0.5,2.7,3.2,3.7,1.3,0.0,3.2,2.6
8,Joe Ragland,0,AVE,35,30.6,17.7,6.4,12.9,496,2.3,5.7,409,2.6,3.1,852,0.4,2.9,3.3,5.1,1.4,0.1,2.1,2.1
9,Dominique Johnson,0,VAR,19,35.1,17.6,6.2,14.5,429,2.9,7.9,364,2.3,2.7,827,0.4,2.6,2.9,1.9,0.6,0.2,2.4,1.7
10,Pietro Aradori,0,REG,30,28.8,15.9,5.3,11.6,458,1.9,4.9,392,3.4,3.8,895,0.5,3.7,4.2,2.7,1.1,0.1,1.7,1.5
11,David Logan,0,AVE,20,29.2,15.9,5.6,12.0,464,2.5,6.6,371,2.3,2.8,836,0.3,2.6,2.9,2.7,1.4,0.0,2.8,1.5
12,D.J. White,0,TOR,26,31.6,15.5,6.2,11.2,552,0.5,1.3,364,2.8,3.7,742,1.8,6.1,8.0,1.3,0.6,0.7,1.9,2.4
13,Tu Holloway,0,CRE,17,30.4,15.5,4.1,9.4,438,1.4,3.5,407,5.9,6.4,917,0.5,2.6,3.1,4.4,1.1,0.1,3.2,2.3
14,Amedeo Della Valle,0,REG,30,28.9,15.2,4.6,10.6,429,2.5,5.9,424,3.5,4.0,891,0.4,2.0,2.4,1.9,0.9,0.1,1.8,1.7
15,Bruno Fitipaldo,0,ORL,11,32.4,15.0,4.7,10.6,444,2.4,5.5,426,3.2,3.7,854,0.3,2.3,2.5,7.5,1.3,0.0,3.8,2.2
16,Mitchell Watt,0,JUV,30,29.4,14.9,5.7,10.9,528,0.3,1.3,263,3.1,4.4,707,2.5,6.5,9.0,1.0,1.2,1.8,2.0,2.7
17,Durand Scott,0,NBB,28,31.2,14.7,4.8,11.0,438,1.1,3.2,360,3.9,5.4,717,1.6,3.8,5.4,2.9,1.4,0.0,2.2,2.5
18,Terran Petteway,0,PIS,34,28.9,14.6,4.9,12.9,384,2.4,6.9,353,2.2,2.6,844,0.4,3.1,3.5,2.0,0.8,0.3,2.1,3.4
19,Dominic Waters,0,CAN,9,33.6,14.6,5.7,12.9,440,1.3,3.3,400,1.9,2.1,895,0.6,2.0,2.6,7.6,1.1,0.0,3.7,3.3
20,Darius Johnson-Odom,0,SAS,13,26.7,14.1,5.2,10.5,496,2.0,4.7,426,1.6,2.9,553,0.4,1.4,1.8,3.6,1.0,0.0,2.0,1.8
21,Dominique Archie,0,ORL,27,31.1,13.7,5.0,10.0,494,1.7,4.0,421,2.1,2.8,763,1.1,4.5,5.6,1.0,1.3,1.0,3.1,2.5
22,Marcus Thornton,0,PES,30,28.5,13.5,4.6,10.6,436,1.7,5.1,342,2.5,3.3,747,0.3,1.8,2.1,1.8,0.6,0.0,2.0,2.2
23,Dominique Sutton,0,TREN,28,27.1,13.3,4.9,10.2,483,0.9,2.6,338,2.6,4.5,567,2.1,3.9,6.0,1.4,1.9,0.3,2.4,3.0
24,Deron Washington,0,TOR,23,32.3,13.2,4.3,9.8,438,0.7,2.3,321,3.9,5.0,767,2.4,6.1,8.5,2.2,1.3,0.5,3.2,3.3
25,David Lighty,0,TREN,15,30.5,13.1,5.3,11.9,444,0.9,3.8,228,1.7,2.2,758,0.5,1.9,2.4,2.4,1.5,0.2,1.8,1.9
26,Zabian Dowdell,0,CAN,20,29.7,13.1,4.9,10.8,449,0.7,2.4,271,2.7,3.2,857,0.6,2.2,2.8,5.4,1.2,0.1,2.5,1.8
27,"Robert Carter, Jr.",0,NBB,30,25.5,13.0,5.2,9.9,525,0.9,2.5,355,1.7,2.3,729,2.0,4.6,6.6,1.5,1.0,1.0,2.2,2.2
28,Michal Michalak,0,BRE,1,34.0,13.0,5.0,9.0,556,2.0,2.0,1.00,1.0,2.0,500,0.0,2.0,2.0,2.0,1.0,0.0,3.0,3.0
29,Lee Moore,0,BRE,28,26.6,13.0,4.5,9.0,498,1.1,2.8,390,2.9,3.4,862,2.0,3.2,5.2,2.1,1.0,0.0,2.1,1.5
30,Jamil Wilson,0,TOR,30,29.8,12.9,4.4,9.4,472,1.6,4.1,398,2.4,3.0,809,1.2,4.7,5.9,1.4,0.7,0.7,2.3,2.7
31,Eric Maynor,0,VAR,29,29.9,12.9,4.7,11.8,401,1.4,3.9,351,2.0,3.2,641,0.4,2.7,3.1,5.5,0.7,0.0,2.8,2.4
32,Nic Moore,0,NBB,23,27.7,12.7,4.0,9.0,451,2.7,5.8,470,1.9,2.2,863,0.6,2.0,2.6,4.2,1.2,0.0,2.2,3.2
33,Christian Eyenga,0,VAR,29,29.6,12.6,4.6,10.7,431,0.7,2.3,318,2.7,3.6,740,0.6,2.9,3.5,1.8,1.2,0.8,2.2,2.2
34,Hrvoje Peric,0,VEN,45,24.4,12.4,4.8,10.5,454,0.8,2.5,319,2.0,2.9,682,1.8,3.4,5.2,1.5,1.0,0.2,1.7,3.0
35,Shawn Jones,0,AVE,3,18.7,12.3,5.0,7.7,652,0.0,0.0,0,2.3,4.3,538,2.3,5.7,8.0,0.0,1.0,0.7,2.7,3.7
36,Phil Goss,0,NBB,27,27.0,12.1,3.9,8.8,445,2.0,5.0,410,2.2,2.5,881,0.4,1.9,2.3,2.9,1.5,0.0,1.7,3.0
37,Nikola Ivanovic,0,ORL,19,30.8,12.1,3.7,8.8,417,2.2,5.8,369,2.5,2.9,873,0.6,1.8,2.4,3.5,1.2,0.1,2.3,2.5
38,Rok Stipcevic,0,SAS,33,27.1,12.0,3.6,9.2,397,2.2,6.0,371,2.5,3.0,848,0.5,2.0,2.5,2.8,0.9,0.0,1.7,1.9
39,Krunoslav Simon,0,MIL,25,25.1,12.0,4.2,8.7,484,1.9,4.6,417,1.7,2.0,857,0.7,4.4,5.1,2.6,0.6,0.2,1.8,1.4
40,Corey Hawkins,0,PIS,6,28.2,12.0,4.5,12.0,375,1.3,5.8,229,1.7,2.3,714,1.7,3.3,5.0,3.5,2.5,0.0,3.7,2.2
41,Keith Haynes,0,VEN,46,28.4,11.9,4.0,9.6,414,2.4,6.1,394,1.5,1.9,807,0.5,1.7,2.2,3.2,0.7,0.1,2.2,2.0
42,Gani Lawal,0,CAN,9,18.3,11.9,4.8,8.1,589,0.0,0.2,0,2.3,4.9,477,2.3,2.4,4.8,0.7,0.7,1.3,2.6,2.3
43,Kyrylo Fesenko,0,AVE,33,21.3,11.8,4.5,6.9,648,0.0,0.0,0,2.9,5.4,542,2.9,4.0,6.9,0.4,0.2,1.0,2.6,2.3
44,David Bell,0,SAS,22,23.7,11.7,3.7,9.4,396,2.4,6.0,394,1.9,2.0,933,0.3,1.8,2.1,2.1,0.8,0.0,2.0,2.4
45,Drake Diener,0,ORL,32,29.7,11.7,4.0,8.6,469,2.4,5.6,433,1.2,1.4,864,0.6,2.7,3.3,1.8,0.8,0.1,0.9,1.8
46,Christian Burns,0,BRE,25,23.1,11.4,4.4,9.6,452,0.8,2.8,300,1.8,2.7,662,1.7,5.0,6.6,1.0,1.3,0.3,1.2,2.6
47,Adonis Thomas,0,AVE,38,26.3,11.3,4.3,9.6,446,1.5,3.7,417,1.3,1.7,742,0.7,2.4,3.1,1.3,0.4,0.2,1.9,2.1
48,Tyler Harvey,0,TOR,29,26.8,11.3,3.7,10.1,369,2.1,5.8,367,1.7,2.1,820,0.4,1.7,2.1,1.8,1.0,0.0,1.4,1.8
49,Nathan Boothe,0,PIS,32,24.6,11.0,4.6,9.2,500,0.9,1.8,475,1.0,1.3,721,1.3,3.2,4.5,1.4,0.6,0.5,1.2,3.5
50,Chris Wright,0,TOR,22,29.0,11.0,4.0,9.6,410,1.0,2.6,362,2.1,2.6,793,0.6,2.9,3.5,5.4,1.3,0.0,2.7,1.8
51,Paul Biligha,0,CRE,30,26.4,10.9,4.1,7.4,559,0.2,0.4,417,2.5,3.4,733,1.9,3.3,5.2,1.2,0.7,1.1,1.8,2.6
52,Ronald Moore,0,PIS,34,29.9,10.9,4.3,10.5,410,1.4,4.4,322,0.9,1.1,763,0.7,3.6,4.2,5.4,1.1,0.1,3.0,2.0
53,Trevor Lacey,0,SAS,28,26.6,10.8,4.1,8.7,477,1.2,3.3,370,1.3,1.7,766,0.4,2.9,3.2,2.7,1.1,0.3,2.1,2.1
54,Raphiael Putney,0,JUV,30,24.6,10.7,4.1,9.1,453,1.0,3.4,301,1.4,2.4,592,1.3,5.2,6.6,0.5,1.0,1.2,2.1,3.1
55,Tremmell Darden,0,CAN,26,31.6,10.7,4.2,9.1,458,1.0,2.7,366,1.4,2.0,706,1.4,3.7,5.1,1.8,1.3,0.5,2.2,2.3
56,Dustin Hogue,0,TREN,44,27.3,10.7,3.9,7.8,496,0.1,0.4,158,2.8,5.1,561,3.3,3.7,7.0,1.2,1.0,0.1,2.0,3.1
57,Milan Macvan,0,MIL,31,22.4,10.7,4.1,8.0,506,0.8,2.4,333,1.7,2.3,750,1.8,3.0,4.7,1.6,0.5,0.1,1.4,2.0
58,Julian Wright,0,REG,3,25.0,10.7,4.7,9.3,500,0.3,1.0,333,1.0,1.7,600,1.3,4.7,6.0,3.7,0.7,0.3,3.0,3.3
59,Dardan Berisha,0,JUV,11,23.2,10.6,3.4,7.3,463,2.5,5.0,509,1.4,1.4,1.00,0.6,2.3,2.9,2.0,1.3,0.2,2.2,1.8
60,Elston Turner,0,CRE,30,28.1,10.6,3.9,10.2,384,1.8,5.3,348,0.9,1.2,800,0.2,2.6,2.7,1.9,1.2,0.1,1.6,1.5
61,Johndre Jefferson,0,TREN,11,21.7,10.5,4.4,7.8,558,0.1,0.2,500,1.7,3.9,442,2.8,4.4,7.2,0.5,0.8,0.7,2.0,2.3
62,Ricky Hickman,0,MIL,34,24.0,10.5,3.5,7.8,447,1.6,4.1,406,1.9,2.7,714,0.3,2.4,2.6,2.8,1.2,0.2,2.3,2.8
63,Jeremy Hazell,0,PES,11,26.5,10.5,3.5,9.1,390,1.8,5.9,308,1.5,1.8,850,0.4,2.4,2.7,1.8,1.0,0.2,1.8,1.6
64,Pawel Kikowski,0,ORL,7,23.0,10.4,3.7,6.9,542,2.1,4.1,517,0.9,0.9,1.00,1.1,1.0,2.1,1.0,1.1,0.0,1.6,3.0
65,Devyn Marble,0,TREN,10,24.5,10.4,3.6,9.6,375,1.3,4.4,295,1.9,2.5,760,0.7,2.5,3.2,2.1,1.1,0.1,0.8,2.1
66,Andrea Crosariol,0,PIS,33,23.8,10.3,4.4,7.1,624,0.0,0.1,0,1.5,2.5,585,2.3,3.5,5.8,1.6,0.7,0.8,1.6,2.2
67,Filippo Baldi,0,TREN,25,22.8,10.3,3.7,8.7,422,1.6,4.2,381,1.3,1.6,805,1.8,3.4,5.2,1.2,0.9,0.2,1.8,2.5
68,Gani Lawal,0,SAS,22,18.0,10.3,4.0,6.8,584,0.0,0.0,0,2.4,3.2,743,2.4,4.5,7.0,0.2,0.5,1.2,1.9,2.6
69,Aaron Craft,0,TREN,44,29.0,10.3,3.9,8.8,448,0.5,1.8,299,1.9,2.5,769,1.0,3.2,4.2,4.8,2.3,0.1,1.9,2.6
70,Riccardo Cervi,0,REG,32,22.8,10.3,4.1,6.5,632,0.0,0.0,0,2.0,2.8,719,1.8,3.2,5.0,0.8,0.2,1.9,1.2,2.6
71,Achille Polonara,0,REG,33,27.5,10.2,3.8,7.7,490,1.5,3.9,372,1.2,2.2,554,1.8,4.8,6.6,1.5,0.8,0.6,1.0,2.2
72,David Moss,0,BRE,27,32.4,10.2,3.9,9.3,414,1.3,3.4,374,1.2,1.7,733,1.3,3.7,5.0,2.9,1.7,0.1,1.7,2.1
73,Brandon Fields,0,PES,19,28.2,10.2,4.1,10.0,405,0.6,3.1,190,1.5,1.7,875,0.1,2.3,2.3,2.5,1.2,0.1,2.6,2.3
74,Ryan Harrow,0,PES,20,28.1,10.2,4.1,8.5,476,0.8,1.9,421,1.3,1.9,676,0.4,2.1,2.5,3.0,1.4,0.0,2.1,1.6
75,Rakim Sanders,0,MIL,30,20.6,10.1,3.5,7.8,446,1.8,4.3,408,1.4,2.3,632,0.6,2.4,3.0,1.5,1.1,0.2,1.8,2.6
76,Melvin Ejim,0,VEN,46,23.3,10.1,3.7,8.1,461,1.0,2.7,374,1.7,2.4,679,1.6,3.9,5.5,1.7,1.3,0.4,2.4,3.2
77,Betinho Gomes,0,TREN,44,28.7,10.1,3.5,9.2,380,1.9,5.7,329,1.3,1.7,724,1.0,4.8,5.7,0.9,0.7,0.5,1.5,1.9
78,Shavon Shields,0,TREN,18,28.7,10.1,3.7,8.2,456,0.6,1.9,286,2.1,2.7,771,1.4,1.9,3.3,2.2,1.5,0.2,2.0,2.3
79,Michael Jenkins,0,PIS,11,29.9,10.0,3.3,8.4,391,1.5,4.6,333,1.9,2.0,955,0.5,3.6,4.1,3.5,1.2,0.1,1.9,3.0
80,Fran Pilepic,0,CAN,30,26.6,9.9,3.4,7.8,434,1.7,4.1,419,1.4,1.6,894,0.3,2.1,2.4,1.6,0.7,0.0,1.2,2.3
81,Dusko Savanovic,0,SAS,31,20.6,9.9,3.5,9.5,372,1.0,3.3,294,1.8,2.2,851,1.0,2.7,3.7,1.5,0.7,0.1,1.7,1.9
82,O.D. Anosike,0,VAR,28,24.2,9.8,4.0,6.8,595,0.0,0.0,0,1.7,2.9,580,3.9,7.3,11.1,0.7,0.8,0.3,1.5,2.7
83,Michele Vitali,0,BRE,20,22.5,9.8,3.2,7.3,434,1.9,4.3,430,1.6,2.3,696,0.8,1.8,2.6,1.2,1.2,0.1,1.3,2.4
84,David Cournooh,0,CAN,15,28.5,9.7,3.2,7.1,453,1.3,3.9,345,1.9,2.4,806,0.5,2.6,3.1,3.0,0.7,0.1,1.6,2.3
85,Giuseppe Poeta,0,TOR,25,22.6,9.6,2.9,7.7,373,1.0,2.8,377,2.8,3.4,845,0.3,1.7,2.0,3.5,1.0,0.0,1.5,2.0
86,Levi Randolph,0,AVE,38,21.5,9.6,3.7,8.1,464,1.3,2.9,436,0.9,1.2,750,1.1,2.0,3.1,0.9,0.7,0.1,1.3,1.3
87,Tyrus McGee,0,VEN,40,20.3,9.5,3.3,7.6,437,1.5,3.9,387,1.4,1.6,877,1.1,1.8,2.8,2.1,0.7,0.1,1.6,2.5
88,Alessandro Gentile,0,MIL,6,19.7,9.5,3.5,8.3,420,0.0,0.8,0,2.5,4.3,577,0.7,3.2,3.8,3.2,1.3,0.0,1.8,2.3
89,Melvin Johnson,0,VAR,9,22.0,9.4,3.1,8.8,354,2.4,5.8,423,0.8,0.8,1.00,0.3,1.1,1.4,0.3,0.6,0.0,1.3,1.9
90,Daniele Cinciarini,0,JUV,26,22.7,9.4,3.0,6.3,479,1.2,3.1,395,2.2,2.8,792,0.7,1.2,1.9,0.9,0.6,0.0,1.8,2.4
91,Mario Delas,0,ORL,32,24.1,9.3,3.9,7.8,502,0.1,0.6,158,1.3,2.0,641,1.8,3.3,5.1,1.2,0.7,0.3,1.6,3.4
92,Diego Flaccadori,0,TREN,44,21.7,9.2,3.1,7.2,435,1.1,3.0,358,1.8,2.4,764,0.3,1.9,2.2,1.6,0.8,0.2,1.5,1.8
93,Michael Bramos,0,VEN,45,26.9,9.2,3.2,7.6,424,2.0,5.3,382,0.8,1.0,723,0.8,3.1,3.9,1.6,0.7,0.4,0.5,2.0
94,Yakhouba Diawara,0,JUV,15,28.7,9.1,3.3,9.5,343,1.1,4.4,242,1.5,2.7,575,1.6,3.0,4.6,1.2,0.6,0.1,1.3,2.4
95,TaShawn Thomas,0,CRE,30,25.6,9.1,3.8,7.7,500,0.3,1.1,265,1.1,1.9,607,1.9,5.1,7.0,1.6,0.7,1.1,1.3,2.0
96,Paul Harris,0,CRE,23,24.6,9.0,3.2,7.3,440,0.6,2.4,250,2.0,2.3,849,2.0,4.0,5.9,0.7,0.7,0.1,1.8,1.8
97,Antonio Iannuzzi,0,ORL,34,21.6,8.7,3.5,7.2,482,0.1,0.5,111,1.7,2.2,763,2.0,2.2,4.2,1.4,0.8,0.1,2.3,2.6
98,Vojislav Stojanovic,0,ORL,28,23.3,8.6,3.5,7.9,437,0.9,3.1,299,0.8,1.3,568,0.7,3.3,4.0,1.6,0.9,0.7,1.5,2.7
