Year,Team,Playoff,Finalist,Winner,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
2004,Acqua San Bernardo Cantu,1,0,0,37,40.3,85.2,29.4,61.3,479,9.4,24.2,389,17.1,22.4,764,9.6,21.5,31.1,11.3,12.1,1.4,17.2,23.1
2004,Mens Sana 1871 Siena,1,0,0,38,40.1,84.3,29.7,60.8,489,7.3,21.1,347,17.5,24.0,731,10.7,24.3,35.0,12.4,12.9,2.3,15.5,20.9
2004,S.S. Basket Napoli,1,0,0,37,40.5,84.0,29.7,61.7,481,8.5,21.7,390,16.1,21.9,735,9.3,24.8,34.1,9.0,10.2,1.6,16.0,21.4
2004,TDShop.it Livorno,0,0,0,34,40.1,82.8,28.6,64.3,445,8.0,24.2,329,17.6,23.6,745,10.0,20.9,30.9,8.8,11.9,1.9,16.0,23.7
2004,Fortituto Kontatto Bologna,1,1,1,45,40.6,82.6,28.9,61.0,473,8.9,25.5,349,16.0,21.6,742,10.3,22.8,33.1,12.5,12.6,3.0,16.6,23.6
2004,Universo De'Longhi Treviso,1,0,0,42,40.1,81.6,28.8,59.1,487,8.8,21.7,405,15.3,20.5,748,9.5,24.3,33.8,11.2,11.9,2.7,15.4,19.0
2004,Banca Tercas Teramo,0,0,0,34,40.1,81.1,28.1,62.0,454,9.4,25.5,367,15.5,21.1,733,10.6,21.7,32.3,11.8,10.6,1.9,16.4,24.7
2004,Termoiforgia Jesi,0,0,0,34,40.3,80.9,28.6,63.6,450,7.0,21.0,335,16.7,22.8,732,11.1,21.6,32.8,9.6,11.5,1.6,16.6,20.6
2004,Edilnol Pallacanestro Biella,0,0,0,34,40.0,80.8,30.0,62.8,477,6.2,18.5,337,14.6,20.7,706,9.3,21.8,31.1,12.3,12.4,1.9,16.1,21.9
2004,Sidigas Avellino,0,0,0,34,40.0,80.5,28.3,62.8,451,7.9,24.3,323,16.0,22.9,700,10.7,21.7,32.4,10.2,12.7,1.6,15.8,22.4
2004,OpenJobMetis Varese,0,0,0,34,40.1,80.5,28.0,58.0,482,8.9,23.7,373,15.7,21.0,745,7.6,21.5,29.1,10.4,12.8,1.7,18.7,21.4
2004,Viola Reggio Calabria,0,0,0,34,40.4,80.0,28.4,62.1,457,7.6,20.9,367,15.5,22.8,682,10.2,24.4,34.6,9.2,11.2,1.6,17.3,22.1
2004,Virtus Roma,1,0,0,42,40.2,80.0,28.3,61.7,458,6.9,20.9,332,16.5,22.6,732,10.6,22.3,32.9,10.5,14.5,2.0,15.9,22.8
2004,Carpegna Prosciutto Basket Pesaro,0,0,0,34,40.0,79.7,28.9,61.1,472,7.8,22.4,349,14.1,19.0,745,9.6,21.8,31.4,9.8,12.2,2.5,15.9,21.7
2004,Roseto Sharks,1,0,0,37,40.3,78.9,27.2,60.1,454,7.8,20.7,375,16.6,22.4,741,9.9,22.1,31.9,13.2,11.0,1.8,17.5,22.8
2004,Pallalcesto Amatori Udine,0,0,0,34,40.1,78.7,28.0,58.9,476,6.2,19.4,319,16.4,21.9,752,9.4,21.7,31.2,9.4,10.9,2.0,17.6,23.9
2004,Grissin Bon Reggio Emilia,0,0,0,34,40.4,78.1,26.8,60.1,447,7.2,21.1,340,17.3,22.6,765,9.6,19.6,29.2,9.8,11.8,1.7,14.5,22.4
2004,AX Armani Exchange Milan,1,1,0,46,40.1,76.9,26.5,56.5,469,7.5,20.8,362,16.4,22.5,727,10.1,23.0,33.1,10.4,12.4,1.4,16.9,20.9
