#,Player,MVP,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Nico Mannion,0,VAR,18,30.2,20.3,6.0,14.5,414,2.6,6.9,371,5.8,6.3,912,0.7,2.8,3.5,6.6,0.8,0.0,3.4,2.6
2,Olivier Hanlan,0,VAR,20,29.2,18.7,6.0,13.5,444,2.5,6.4,394,4.2,5.1,832,0.2,3.8,4.0,4.3,0.4,0.1,2.8,3.3
3,Charlie Moore,0,PIS,33,28.0,17.4,5.8,13.2,439,2.0,4.9,411,3.8,4.7,818,0.5,2.0,2.4,5.1,1.0,0.0,3.5,2.2
4,Langston Galloway,0,REG,35,30.0,16.8,5.4,13.9,388,2.9,7.9,367,3.1,3.5,887,0.6,2.2,2.8,2.5,0.9,0.1,1.1,2.2
5,Markis McDuffie,0,PES,13,30.8,16.3,5.5,12.8,431,1.1,3.4,318,4.2,4.9,844,2.3,4.0,6.3,1.6,1.5,0.4,0.8,1.8
6,Xavier Sneed,0,NBB,27,32.7,16.2,4.9,12.3,393,1.7,5.5,318,4.7,6.0,795,1.2,5.1,6.3,1.7,1.3,0.7,1.7,2.0
7,Osvaldas Olisevicius,0,TREV,21,31.4,15.7,5.2,11.9,436,2.0,4.9,402,3.3,4.1,814,1.4,4.1,5.6,3.0,0.8,0.0,3.4,2.4
8,Kevin Hervey,0,REG,18,25.6,15.7,5.6,12.7,437,2.3,5.7,398,2.3,2.8,820,1.5,3.9,5.4,1.4,1.3,0.5,1.7,2.4
9,Payton Willis,0,PIS,33,32.7,15.7,5.6,12.7,440,3.0,7.6,392,1.5,2.0,785,0.5,3.5,3.9,2.2,0.8,0.2,1.0,1.2
10,Nikola Mirotic,0,MIL,25,23.5,15.4,4.5,9.4,475,2.0,5.1,402,4.4,5.0,887,1.2,3.6,4.8,0.8,0.6,0.5,1.5,2.3
11,Justin Wright-Foreman,0,PES,10,24.7,15.3,5.7,12.5,456,1.5,5.3,283,2.4,2.8,857,0.4,1.7,2.1,1.6,0.6,0.0,2.4,2.1
12,Jacob Pullen,0,NAP,30,23.5,14.7,4.5,12.4,364,2.4,7.3,329,3.3,4.1,797,0.2,0.6,0.8,2.5,0.9,0.0,2.1,1.5
13,Tomislav Zubcic,0,NAP,30,27.6,14.6,4.6,10.3,443,2.4,6.2,384,3.1,3.7,839,0.8,4.8,5.6,1.5,1.1,0.3,1.6,2.7
14,Kamar Baldwin,0,TREN,31,27.6,14.2,5.1,12.2,422,1.8,5.3,350,2.1,2.4,880,0.3,3.9,4.2,4.5,0.8,0.3,1.8,2.6
15,Rayjon Tucker,0,VEN,38,27.9,14.2,4.4,8.9,493,1.2,3.4,352,4.2,5.7,745,0.6,3.6,4.2,2.0,1.1,0.1,1.7,2.0
16,Jordon Varnado,0,PIS,24,27.3,14.1,5.2,11.1,470,1.5,4.1,367,2.2,3.4,654,1.0,3.3,4.2,1.6,0.7,0.2,1.4,2.3
17,Andrejs Grazulis,0,TREN,24,24.7,14.1,5.4,10.0,539,2.2,5.0,430,1.1,1.5,750,1.6,3.1,4.7,1.3,0.4,1.0,1.0,1.6
18,Shavon Shields,0,MIL,34,26.3,14.1,4.6,10.3,450,2.2,5.2,421,2.7,3.3,820,0.6,3.1,3.8,2.8,1.1,0.1,1.5,1.4
19,Mike Daum,0,TORT,9,27.0,14.1,5.3,10.4,511,1.6,4.6,341,1.9,2.3,810,1.4,5.7,7.1,1.2,0.7,0.3,0.8,1.3
20,Tyler Ennis,0,NAP,30,28.8,14.1,5.2,11.4,458,0.8,2.6,299,2.9,3.7,782,0.8,3.4,4.2,6.7,1.7,0.1,2.1,2.4
21,Ky Bowman,0,TREV,27,26.4,14.0,4.8,11.8,404,1.9,5.2,357,2.6,3.3,787,0.8,2.4,3.1,1.9,1.0,0.4,1.8,3.6
