#,Player,MVP,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Austin Daye,0,PES,21,32.2,21.3,6.8,16.6,408,2.2,6.1,364,5.5,6.5,853,0.8,8.3,9.0,1.9,1.6,1.1,3.8,3.6
2,Ryan Boatright,0,ORL,11,27.5,19.2,6.2,14.3,433,3.0,6.8,440,3.8,4.7,808,0.1,3.9,4.0,2.5,1.6,0.0,3.6,1.8
3,Adrian Banks,0,NBB,29,33.8,18.9,6.4,13.5,472,1.3,4.3,315,4.8,5.7,842,0.4,2.9,3.3,2.8,1.3,0.0,2.8,1.4
4,James Nunnally,1,AVE,40,31.7,18.4,6.3,13.3,476,2.2,5.4,412,3.5,3.8,908,0.7,3.5,4.2,2.5,0.7,0.1,2.2,2.1
5,D.J. White,0,TOR,22,32.2,17.1,7.1,12.3,579,0.0,0.2,250,2.8,3.9,718,2.7,6.0,8.7,1.2,0.6,0.8,1.9,2.1
6,David Logan,0,SAS,33,30.1,16.6,5.5,11.9,457,2.6,6.2,417,3.2,3.7,860,0.5,2.6,3.1,4.3,1.9,0.1,2.5,1.5
7,Alex Kirk,0,PIS,33,30.9,16.3,6.2,12.6,489,0.9,2.7,348,3.0,4.2,710,2.2,5.5,7.6,0.9,0.4,1.3,2.0,2.5
8,Shaquielle McKissic,0,PES,9,30.3,15.9,5.3,12.2,436,2.2,5.4,408,3.0,4.0,750,1.0,4.2,5.2,1.4,1.3,0.2,2.1,2.0
9,Jerome Dyson,0,TOR,18,30.4,15.8,5.1,13.3,385,2.3,6.9,339,3.3,4.7,702,0.8,2.1,2.9,3.1,1.7,0.1,2.9,2.8
10,JaJuan Johnson,0,CAN,22,32.0,15.1,6.3,12.3,513,0.3,1.5,182,2.2,3.0,754,2.6,5.6,8.2,1.5,0.5,1.4,1.8,3.0
11,Josh Akognon,0,SAS,14,23.9,14.9,4.9,10.9,454,2.7,7.1,380,2.4,2.4,971,0.4,1.0,1.4,1.7,0.8,0.0,2.3,2.7
12,Trevor Lacey,0,PES,30,34.3,14.5,5.1,10.8,474,1.5,4.5,338,2.8,3.8,743,0.8,4.0,4.8,2.6,1.3,0.2,2.3,2.2
13,Julian Wright,0,TREN,33,27.7,14.4,6.1,12.4,493,0.4,2.2,192,1.8,2.6,694,2.5,4.8,7.3,2.0,1.5,0.9,1.9,2.2
14,Semaj Christon,0,PES,30,33.2,14.3,5.7,13.3,425,0.4,2.1,190,2.6,3.9,664,1.0,2.3,3.3,3.7,1.6,0.2,2.8,2.9
15,Krunoslav Simon,0,MIL,43,26.6,14.3,4.4,9.4,467,2.4,5.5,443,3.1,3.4,905,0.5,3.7,4.2,3.1,0.7,0.1,2.3,1.8
16,Dexter Pittman,0,BOL,29,24.8,14.2,5.2,8.7,597,0.0,0.0,0,3.8,6.2,606,3.8,4.1,7.9,0.7,0.7,0.4,2.4,3.2
17,Davide Pascolo,0,TREN,33,29.4,13.6,5.6,10.6,527,0.5,1.8,250,2.0,2.5,798,2.5,4.0,6.6,1.6,0.9,0.8,1.5,2.3
18,Dejan Ivanov,0,TOR,8,28.4,13.5,4.6,9.5,487,0.4,1.3,300,3.9,5.5,705,3.6,3.5,7.1,1.6,0.6,0.0,2.6,2.8
19,Andre Collins,0,BOL,9,27.7,13.4,4.1,10.4,394,2.9,7.3,394,2.3,2.6,913,0.7,2.1,2.8,3.2,1.7,0.0,2.4,2.2
20,Durand Scott,0,NBB,26,28.0,13.3,5.0,10.0,494,1.1,3.3,333,2.3,3.0,769,1.4,3.4,4.8,1.5,1.1,0.1,2.4,2.5
21,Peyton Siva,0,JUV,21,30.1,13.3,4.0,10.8,370,1.6,5.2,303,3.8,4.1,919,0.4,2.3,2.7,6.5,2.0,0.1,3.3,3.7
22,Joe Ragland,0,AVE,30,28.5,13.3,4.6,9.7,473,1.7,4.3,400,2.4,2.8,855,0.7,2.7,3.4,3.8,1.4,0.0,2.1,1.9
23,Ivan Buva,0,AVE,40,20.1,13.3,5.3,9.6,547,0.2,0.6,240,2.6,3.3,795,2.0,3.5,5.5,0.6,0.4,0.5,2.1,1.7
24,Brandon Davies,0,VAR,30,25.7,13.3,5.3,11.2,473,0.2,1.3,158,2.5,3.3,740,2.3,4.3,6.5,1.5,1.0,0.9,2.5,3.3
25,Awudu Abass,0,CAN,30,30.6,13.1,4.5,10.1,450,1.8,5.0,351,2.3,3.1,742,1.2,4.6,5.8,1.7,1.1,0.4,1.9,2.8
26,Keith Haynes,0,SAS,18,30.5,13.1,4.6,10.1,453,2.8,6.3,439,1.2,1.5,815,0.7,1.7,2.4,4.3,1.2,0.2,2.3,1.6
27,Kenneth Kadji,0,NBB,17,30.8,13.1,5.2,12.1,429,1.1,3.8,297,1.6,2.2,730,2.1,5.7,7.8,1.1,0.8,0.6,2.2,3.5
28,Tyrus McGee,0,CRE,33,22.5,13.0,4.8,9.1,532,1.7,3.6,458,1.7,2.1,838,0.9,2.3,3.2,1.7,0.7,0.1,2.5,2.7
29,Daniele Cinciarini,0,JUV,28,29.2,13.0,4.2,11.3,369,1.9,5.6,333,2.8,3.4,830,0.5,1.9,2.4,0.8,1.0,0.1,1.4,2.9
30,Rimantas Kaukenas,0,REG,34,25.4,12.9,4.6,9.4,483,1.3,3.4,395,2.4,2.9,856,0.3,1.0,1.2,2.6,0.9,0.1,2.5,3.1
31,Kyrylo Fesenko,0,CAN,13,27.5,12.8,4.8,7.3,663,0.0,0.1,0,3.2,5.8,547,3.3,5.4,8.7,1.0,0.8,2.1,3.2,3.3
32,Pietro Aradori,0,REG,42,26.7,12.7,4.4,9.4,473,1.2,3.3,374,2.6,3.2,801,0.5,4.6,5.1,2.4,1.0,0.0,2.0,2.0
33,Brady Heslip,0,CAN,29,27.0,12.7,4.3,9.4,458,3.2,7.0,455,0.9,1.1,781,0.2,0.9,1.0,0.9,0.5,0.0,1.0,1.4
34,Joe Alexander,0,SAS,31,24.0,12.5,4.7,8.8,535,0.6,1.8,345,2.5,3.2,768,0.9,3.5,4.5,1.1,0.5,0.9,1.8,2.4
35,Amedeo Della Valle,0,REG,45,26.3,12.4,3.6,9.3,388,2.1,5.7,368,3.1,3.7,837,0.5,2.2,2.6,2.4,1.2,0.0,1.5,1.8
36,Micah Downs,0,JUV,30,32.5,12.4,4.5,12.0,377,1.7,5.6,299,1.7,2.0,820,1.1,5.0,6.1,2.5,0.9,0.7,2.8,2.2
37,Jeremy Pargo,0,VEN,11,26.9,12.3,4.5,11.5,397,1.3,4.9,259,1.9,3.1,618,0.5,1.9,2.4,3.7,1.1,0.0,2.3,2.0
38,Elston Turner,0,CRE,34,30.6,12.3,4.6,12.4,375,1.9,6.0,319,1.1,1.4,750,0.4,2.3,2.7,2.4,0.9,0.0,1.8,1.7
39,Roko Ukic,0,VAR,9,27.1,12.0,4.2,8.9,475,1.9,4.0,472,1.7,1.7,1.00,1.0,1.0,2.0,5.6,0.8,0.1,2.0,1.3
40,Walter Hodge,0,CAN,23,30.8,11.9,4.0,9.3,430,1.3,4.2,299,2.6,3.1,845,0.5,2.7,3.2,5.5,1.3,0.1,3.5,3.3
41,Alessandro Gentile,0,MIL,32,24.0,11.8,4.4,10.4,425,0.7,2.9,247,2.3,3.0,750,0.3,2.8,3.2,2.9,0.8,0.2,2.4,2.3
42,Rakim Sanders,0,MIL,24,22.6,11.8,4.0,8.7,455,1.2,3.7,326,2.7,3.7,719,1.6,2.3,4.0,1.2,0.9,0.2,1.7,2.4
