Year,Team,Playoff,Finalist,Winner,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
2003,Banca Tercas Teramo,0,0,0,34,40.4,91.1,30.6,65.8,464,9.1,24.4,372,20.9,27.1,770,11.1,23.9,34.9,11.7,11.2,1.1,15.8,22.3
2003,Mens Sana 1871 Siena,1,1,1,43,40.1,89.5,31.0,60.8,509,7.5,19.7,381,20.1,26.5,757,10.8,24.5,35.3,13.1,13.4,2.0,15.8,20.7
2003,Universo De'Longhi Treviso,1,0,0,39,40.1,87.8,31.0,59.0,525,7.8,19.6,397,18.1,23.8,761,7.7,24.5,32.3,13.8,12.3,2.4,15.6,19.3
2003,Carpegna Prosciutto Basket Pesaro,1,0,0,41,40.5,86.1,30.5,60.8,502,8.5,20.3,420,16.6,21.8,761,9.1,21.5,30.6,8.0,11.8,2.4,15.9,22.9
2003,Roseto Sharks,0,0,0,33,39.8,86.1,30.6,61.3,500,9.0,24.0,374,15.8,22.6,701,9.3,22.9,32.2,14.3,11.3,1.8,17.5,22.1
2003,Fortituto Kontatto Bologna,1,1,0,43,39.9,85.6,29.6,60.1,492,8.7,23.6,369,17.8,23.2,767,9.1,22.0,31.1,12.1,12.3,2.0,15.0,24.0
2003,OpenJobMetis Varese,1,0,0,37,40.3,84.7,29.0,61.5,471,7.2,19.5,368,19.6,24.8,791,9.4,21.1,30.5,11.0,14.8,1.9,17.3,23.4
2003,Pallalcesto Amatori Udine,0,0,0,34,40.9,83.8,29.0,57.9,501,7.3,19.6,374,18.5,23.5,788,8.4,20.1,28.5,10.0,11.9,1.8,17.5,24.1
2003,Sidigas Avellino,0,0,0,34,40.1,83.4,29.9,60.3,497,8.4,21.3,394,15.1,20.5,736,10.0,21.4,31.4,8.8,16.3,2.4,18.1,24.3
2003,S.S. Basket Napoli,1,0,0,39,40.1,83.2,29.9,60.6,494,8.2,21.6,380,15.1,20.0,756,9.5,23.0,32.5,7.9,12.3,1.8,16.0,22.6
2003,Acqua San Bernardo Cantu,1,0,0,37,40.1,82.0,28.8,61.3,470,8.3,22.9,360,16.1,21.8,739,9.1,22.2,31.3,9.6,11.7,1.7,16.5,22.5
2003,Pallacanestro Messina,0,0,0,34,40.6,81.4,29.3,60.8,482,7.4,20.0,371,15.5,20.3,762,8.3,22.1,30.4,11.1,9.9,1.9,16.5,20.5
2003,TDShop.it Livorno,0,0,0,34,40.3,81.3,29.0,62.7,462,8.3,25.2,331,15.0,20.6,729,9.1,19.9,29.0,6.9,12.7,2.6,16.4,21.3
2003,Edilnol Pallacanestro Biella,0,0,0,34,40.6,81.1,28.3,60.3,469,8.3,21.8,382,16.1,21.9,739,8.2,21.0,29.2,12.2,13.5,2.6,15.4,21.0
2003,AX Armani Exchange Milan,0,0,0,34,40.0,80.7,28.0,60.4,464,7.4,20.7,355,17.3,21.1,821,9.5,21.9,31.4,11.1,12.7,1.4,15.6,22.1
2003,Viola Reggio Calabria,0,0,0,34,40.6,80.4,28.2,58.3,484,7.9,21.0,374,16.1,22.0,734,9.7,21.4,31.1,7.2,13.7,2.7,16.7,24.1
2003,Virtus Roma,1,0,0,37,40.7,79.9,27.0,58.5,461,10.3,25.8,400,15.5,20.5,759,8.5,22.1,30.6,10.2,11.7,2.4,15.0,22.7
2003,Pallacanestro Trieste 2004,0,0,0,33,40.2,76.3,26.8,61.3,437,7.4,22.0,337,15.3,21.1,725,9.2,19.8,29.0,7.1,12.7,1.1,16.2,21.6
