Year,Team,Playoff,Finalist,Winner,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
2023,OpenJobMetis Varese,0,0,0,30,40.0,87.3,29.3,64.3,456,12.5,32.7,383,16.1,20.4,791,8.4,27.4,35.8,16.9,4.4,1.8,13.5,18.7
2023,Gemani Basket Brescia,1,0,0,36,40.1,87.0,31.3,64.6,485,8.7,23.8,366,15.7,20.2,775,10.7,26.8,37.6,17.9,7.1,2.0,10.8,21.0
2023,Virtus Bologna,1,1,0,43,40.5,87.0,30.6,62.7,489,9.4,25.8,366,16.3,21.3,765,10.8,26.8,37.7,21.6,6.5,2.5,12.0,20.3
2023,Napoli Basket,0,0,0,30,40.2,86.2,29.5,65.7,450,10.4,31.0,337,16.7,21.2,789,9.3,25.6,34.9,17.9,7.4,2.3,12.6,21.8
2023,Dolomiti Energia Trento,1,0,0,34,40.1,82.7,30.4,66.3,458,10.6,29.7,356,11.4,15.0,764,10.7,23.8,34.5,19.7,6.3,2.9,12.6,19.6
2023,Givova Scafati,0,0,0,30,40.6,82.7,29.8,61.9,481,9.4,24.6,384,13.7,18.5,744,9.3,24.7,34.0,18.2,6.0,1.9,13.4,21.8
2023,Umana Venezia,1,0,0,39,40.3,82.4,28.7,61.6,466,9.1,26.1,349,15.9,21.5,741,9.6,27.8,37.4,17.4,5.8,1.8,13.0,19.5
2023,AX Armani Exchange Milan,1,1,1,41,40.1,81.8,28.9,60.9,474,9.3,25.5,364,14.8,19.2,773,10.3,26.0,36.3,16.8,6.4,2.6,12.0,19.0
2023,Universo De'Longhi Treviso,0,0,0,30,40.0,81.1,28.0,62.9,445,9.1,27.2,334,16.0,20.8,770,10.0,24.6,34.7,13.9,6.3,2.5,12.8,19.8
2023,Carpegna Prosciutto Basket Pesaro,0,0,0,30,40.3,80.6,28.2,64.4,438,9.4,27.1,346,14.8,19.2,771,9.1,23.8,33.0,16.7,7.0,1.9,11.7,20.7
2023,Georgio Tesi Group Pistoia,1,0,0,33,40.2,80.4,28.8,62.7,460,10.3,27.3,378,12.5,17.2,725,7.7,26.0,33.7,15.0,5.5,2.2,11.8,17.2
2023,Vanoli Cremona,0,0,0,30,40.3,80.2,28.6,61.2,467,10.0,27.8,361,13.0,17.2,756,9.2,25.2,34.4,17.1,5.9,1.2,12.5,21.7
2023,Bertram Tortona,1,0,0,35,40.1,80.1,28.0,64.5,435,10.1,29.5,342,14.0,19.1,733,10.6,24.3,34.9,17.0,6.2,3.2,11.2,21.3
2023,Grissin Bon Reggio Emilia,1,0,0,35,40.0,79.9,29.6,64.8,457,8.9,25.0,357,11.7,16.2,724,10.5,24.7,35.3,15.9,7.5,3.0,12.7,21.5
2023,Banco di Sardegna Sassari,0,0,0,30,40.2,79.8,28.5,59.1,483,8.1,22.7,355,14.7,18.8,780,8.5,24.2,32.7,17.6,7.2,2.1,14.5,20.1
2023,Enel Brindisi,0,0,0,30,40.2,75.8,26.0,61.3,424,8.8,26.3,336,14.9,18.9,792,9.1,24.0,33.1,12.9,5.4,1.7,12.2,20.5
