#,Player,MVP,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Sam Young,0,JUV,11,32.5,21.9,7.4,15.8,466,1.6,4.5,367,5.5,6.9,803,1.9,5.4,7.3,2.1,1.6,0.3,3.5,2.7
2,Tony Mitchell,1,TREN,33,31.2,20.1,6.8,18.2,375,2.6,8.1,325,3.8,5.4,713,1.2,4.4,5.6,2.8,1.4,0.7,3.3,2.6
3,LaQuinton Ross,0,PES,30,33.0,17.1,5.5,13.6,403,1.6,4.2,376,4.6,5.3,867,1.6,5.5,7.1,1.3,1.3,0.5,3.1,2.6
4,Allan Ray,0,BOL,31,29.8,16.9,5.5,12.9,424,2.2,4.8,460,3.8,4.2,915,1.1,2.7,3.8,2.3,1.0,0.2,3.3,2.6
5,Dawan Robinson,0,VAR,15,31.3,16.2,5.6,11.5,486,0.8,2.8,286,4.2,5.1,829,0.7,3.4,4.1,4.4,0.9,0.0,2.5,2.7
6,Chris Wright,0,PES,15,32.3,16.1,5.9,14.8,396,0.7,2.7,268,3.6,5.1,711,1.3,2.6,3.9,3.4,1.5,0.1,2.7,2.2
7,Jeremy Hazell,0,BOL,33,27.5,15.8,5.5,12.7,429,2.4,6.8,348,2.5,3.2,766,0.5,2.4,2.9,1.2,1.2,0.2,1.3,1.3
8,David Logan,0,SAS,48,30.4,15.7,5.3,12.4,429,3.0,7.7,394,2.1,2.5,825,0.6,2.0,2.6,2.5,1.4,0.1,2.2,2.1
9,Kenny Hayes,0,CRE,28,31.5,15.4,5.1,11.9,429,1.0,3.0,321,4.3,4.8,888,0.6,2.1,2.7,2.1,0.8,0.0,1.9,1.7
10,Dejan Ivanov,0,JUV,24,27.7,15.4,5.7,10.5,544,0.6,1.9,326,3.4,4.6,730,3.6,2.8,6.4,2.0,1.0,0.3,1.8,2.3
11,Austin Freeman,0,ORL,18,33.1,15.3,5.6,14.9,373,1.8,5.6,320,2.4,3.0,815,0.6,2.9,3.4,2.9,0.7,0.1,2.7,2.1
12,Adrian Banks,0,AVE,30,30.6,15.3,4.9,10.1,488,0.8,2.2,358,4.7,5.7,814,0.5,2.1,2.6,2.7,0.8,0.0,2.5,1.5
13,Jerome Dyson,0,SAS,47,29.4,15.2,4.8,13.1,362,1.6,6.0,270,4.0,5.2,772,1.0,3.0,3.9,4.1,2.0,0.0,3.3,3.1
14,C.J. Williams,0,PIS,30,31.3,14.4,5.4,13.2,413,1.9,5.4,352,1.7,2.2,769,0.7,3.5,4.2,2.1,0.9,0.7,1.9,2.6
15,Marcus Denmon,0,NBB,34,29.9,14.4,4.7,11.9,399,2.4,6.8,361,2.5,2.8,885,0.7,2.3,2.9,2.0,1.1,0.2,1.5,2.0
16,Darius Johnson-Odom,0,CAN,35,31.7,14.4,5.1,10.8,472,1.4,4.0,357,2.7,4.1,669,0.5,2.9,3.4,4.1,0.9,0.1,2.9,2.1
17,Kyle Gibson,0,ROM,19,30.2,14.2,4.5,12.5,357,2.5,7.6,333,2.7,3.0,895,0.7,1.8,2.5,2.1,0.7,0.1,1.7,2.4
18,Alessandro Gentile,0,MIL,37,27.3,14.1,5.2,10.7,486,0.9,3.0,288,2.8,3.5,806,1.0,3.8,4.8,3.3,1.1,0.2,2.8,2.4
19,Phil Goss,0,VEN,41,27.6,14.1,4.8,10.7,451,1.7,4.3,392,2.8,3.2,869,0.5,2.0,2.5,3.4,1.2,0.1,2.0,2.7
20,Hrvoje Peric,0,VEN,42,27.0,14.1,5.6,11.2,504,1.0,3.1,321,1.8,2.5,710,1.5,3.9,5.4,2.2,1.0,0.6,1.9,2.7
21,Jacob Pullen,0,NBB,29,29.4,14.0,4.6,10.9,424,2.1,5.9,363,2.7,3.6,748,0.3,2.1,2.4,3.1,0.9,0.0,2.1,1.8
22,Samardo Samuels,0,MIL,40,24.5,14.0,5.1,8.5,601,0.2,0.7,286,3.6,5.0,706,2.3,4.2,6.4,2.0,0.5,0.7,2.3,2.2
23,MarShon Brooks,0,MIL,40,23.3,13.6,4.8,10.3,468,1.9,5.0,372,2.1,2.9,718,0.9,2.4,3.3,2.0,0.8,0.4,1.5,1.6
24,Eric Maynor,0,VAR,15,33.3,13.5,4.7,13.5,351,1.9,6.1,319,2.1,2.6,821,0.4,3.7,4.1,7.4,0.7,0.1,2.8,3.1
25,Metta World Peace,0,CAN,13,23.2,13.4,4.8,11.5,423,2.2,5.4,400,1.5,2.5,606,1.4,2.6,4.0,1.3,1.5,0.3,2.5,2.5
26,Sek Henry,0,ORL,24,33.3,13.3,4.8,10.6,455,1.6,4.1,388,2.1,3.1,676,0.8,3.6,4.4,3.4,1.2,0.3,2.9,2.6
27,James Mays,0,NBB,30,25.1,13.3,5.1,9.8,517,0.2,1.1,188,3.0,5.2,581,3.7,5.5,9.2,0.8,0.6,0.5,2.0,2.8
28,Josh Owens,0,TREN,34,28.5,13.3,5.9,9.9,598,0.0,0.0,0,1.4,2.6,552,2.9,3.5,6.4,1.0,0.8,0.4,2.0,2.1
29,Yakhouba Diawara,0,VAR,24,31.3,13.2,4.3,12.1,359,1.7,6.0,283,2.8,4.2,670,1.4,2.8,4.2,2.0,0.9,0.1,2.4,2.8
30,Dominique Archie,0,ORL,26,32.5,13.2,4.6,10.1,452,1.4,3.7,381,2.6,3.5,736,1.1,5.3,6.3,1.3,0.9,0.4,2.7,2.5
31,Cameron Clark,0,CRE,28,29.5,13.0,5.0,12.3,409,0.7,2.4,279,2.2,3.1,705,1.6,5.5,7.1,1.0,1.2,0.5,1.8,2.8
32,Darius Lavrinovic,0,REG,22,18.5,13.0,5.0,9.0,553,0.9,2.6,351,2.1,2.8,758,1.3,2.8,4.1,1.0,0.4,0.8,1.8,3.0
33,Christian Eyenga,0,VAR,21,30.3,12.7,5.3,11.0,483,0.2,1.2,154,2.0,3.3,594,1.8,4.1,5.9,1.4,0.9,1.0,2.4,3.0
34,James Feldeine,0,CAN,33,28.7,12.6,4.4,10.4,423,1.8,4.8,380,2.0,2.5,793,0.2,3.3,3.5,2.8,1.5,0.2,2.1,1.6
35,Luca Vitali,0,CRE,27,31.5,12.5,3.5,8.0,438,1.3,3.5,379,4.1,4.7,874,1.0,4.7,5.6,5.7,1.1,0.1,2.9,2.9
36,Justin Harper,0,AVE,29,26.9,12.4,5.2,10.9,483,1.0,2.8,375,0.9,1.1,781,2.0,2.9,4.9,1.0,0.6,0.3,1.9,2.8
37,Rakim Sanders,0,SAS,42,26.0,12.3,4.5,10.3,435,1.6,4.2,384,1.6,2.9,561,1.7,2.2,3.9,1.3,1.0,0.4,2.0,2.3
38,Achille Polonara,0,REG,49,32.1,12.1,4.4,9.4,472,1.6,4.3,367,1.7,2.7,629,2.2,6.0,8.2,1.6,1.0,0.8,1.1,1.9
39,Okaro White,0,BOL,33,26.9,12.1,3.7,8.4,438,0.8,2.0,388,4.0,4.9,815,2.5,4.4,6.8,1.1,0.7,1.0,2.0,3.3
40,Andy Rautins,0,VAR,28,32.0,12.0,3.9,10.2,379,3.0,7.7,395,1.3,1.5,814,0.3,4.3,4.6,2.3,1.0,0.1,2.4,3.0
41,Davide Pascolo,0,TREN,33,27.8,12.0,4.9,9.2,538,0.3,1.3,262,1.8,2.2,795,2.8,4.8,7.6,1.8,1.2,1.0,1.3,2.0
42,Donell Taylor,0,REG,10,24.0,11.9,4.6,10.1,455,1.9,4.6,413,0.8,1.1,727,0.6,3.3,3.9,1.7,1.2,0.2,1.2,2.1
43,Johndre Jefferson,0,VAR,12,26.8,11.8,4.8,6.9,687,0.0,0.0,0,2.3,3.7,614,3.8,4.8,8.6,1.0,1.0,1.0,1.3,1.8
44,O.D. Anosike,0,AVE,30,30.5,11.5,4.8,7.7,621,0.0,0.0,0,1.9,3.5,528,4.0,6.9,10.9,1.0,1.0,0.2,2.9,2.6
45,Edgar Sosa,0,SAS,40,22.1,11.4,4.1,10.0,406,1.7,5.1,328,1.7,2.4,688,0.3,1.3,1.6,3.0,0.7,0.1,1.7,1.9
46,Rimantas Kaukenas,0,REG,41,25.3,11.4,4.2,8.8,482,1.0,3.1,310,2.0,2.4,827,0.4,1.6,2.0,2.9,0.9,0.1,2.5,2.8
47,Sundiata Gaines,0,AVE,29,28.2,11.3,3.9,11.2,345,1.4,4.6,318,2.1,3.2,656,1.0,2.3,3.3,2.4,1.2,0.2,1.7,2.3
48,Rok Stipcevic,0,ROM,30,30.8,11.3,3.2,8.5,373,1.9,5.8,326,3.0,3.3,919,0.4,2.2,2.6,3.2,0.7,0.0,1.8,2.4
49,Peter Lorant,0,PES,15,29.7,11.3,3.7,9.1,412,1.4,3.8,368,2.4,3.5,679,2.9,3.4,6.3,0.7,0.7,0.4,1.6,3.0
50,Shane Lawal,0,SAS,47,27.4,11.2,4.7,7.1,652,0.0,0.0,0,1.9,3.3,558,4.5,4.8,9.4,1.2,1.1,1.9,1.9,2.8
51,Gilbert Brown,0,PIS,28,26.0,11.1,3.6,8.4,436,0.8,2.2,371,3.0,3.7,825,0.9,2.7,3.6,1.3,1.0,0.3,1.8,2.8
52,Ramel Curry,0,ROM,8,26.9,11.1,4.4,8.4,522,2.0,3.8,533,0.4,0.5,750,0.6,2.8,3.4,2.6,1.1,0.1,1.4,1.3
53,Bobby Jones,0,ROM,26,28.7,11.1,3.7,8.8,415,0.9,3.0,291,2.9,4.2,691,1.4,3.6,5.0,1.3,1.6,0.1,2.3,3.3
54,Tyrus McGee,0,ORL,10,21.0,11.1,4.2,9.1,462,2.0,5.3,377,0.7,0.9,778,0.9,2.6,3.5,0.7,0.2,0.3,1.5,1.9
55,Joe Ragland,0,MIL,40,23.0,11.1,3.9,7.5,518,1.7,3.8,441,1.6,1.9,829,0.6,2.5,3.0,3.2,0.9,0.1,1.6,2.1
56,Anthony Myles,0,PES,22,29.0,11.0,4.0,11.1,361,1.3,5.0,264,1.6,2.4,692,0.8,2.0,2.8,1.0,0.7,0.3,2.0,2.5
57,Henry Domercant,0,JUV,12,21.1,10.9,3.4,8.9,383,1.8,3.8,467,2.3,3.0,778,0.3,2.6,2.9,0.8,0.8,0.2,1.9,1.6
58,Daniele Cinciarini,0,PIS,23,24.2,10.8,3.6,9.7,372,1.4,4.2,344,2.2,2.7,820,0.6,1.8,2.4,1.3,0.9,0.0,1.7,2.6
59,Adam Hanga,0,AVE,30,28.6,10.6,4.1,10.3,395,1.0,3.9,265,1.4,2.0,712,1.2,3.1,4.3,2.7,1.9,0.8,1.8,2.3
60,James Bell,0,CRE,30,26.8,10.5,3.7,9.1,404,1.7,5.2,333,1.5,1.7,846,1.0,3.4,4.4,0.8,0.8,0.5,1.6,2.6
61,Drake Diener,0,REG,38,26.2,10.5,3.6,8.6,413,1.7,4.7,356,1.8,2.1,848,0.8,3.8,4.6,2.7,0.7,0.2,1.6,1.7
62,Andrea Cinciarini,0,REG,48,32.0,10.4,3.8,9.5,405,0.7,2.5,275,2.1,2.9,714,1.0,4.1,5.1,6.5,1.5,0.1,2.4,2.5
63,Landon Milbourne,0,PIS,28,26.2,10.3,4.0,8.6,463,0.8,1.9,415,1.6,2.0,818,1.8,3.5,5.3,0.7,0.8,0.6,1.7,3.0
64,Carleton Scott,0,JUV,30,24.5,10.3,3.8,8.6,444,1.6,4.5,353,1.1,1.4,805,1.1,5.5,6.7,1.1,1.3,1.0,1.4,2.7
65,Valerio Amoroso,0,PIS,19,24.8,10.2,3.4,8.3,411,1.8,5.1,361,1.5,2.1,718,1.4,4.6,6.1,1.6,0.8,0.1,1.9,2.7
66,Dario Hunt,0,ORL,30,26.7,10.1,4.6,8.4,552,0.0,0.0,0,0.8,2.7,305,2.8,5.8,8.5,0.5,0.6,1.1,2.3,2.6
67,Delroy James,0,NBB,35,29.3,9.9,3.7,8.7,423,1.0,3.5,279,1.6,2.1,778,1.4,6.0,7.4,1.9,1.1,1.0,2.5,3.0
68,Bernardo Musso,0,PES,30,27.6,9.9,3.3,8.7,375,1.8,5.8,314,1.5,1.9,807,0.9,2.6,3.5,2.5,1.4,0.2,1.6,2.7
69,Ariel Filloy,0,PIS,30,26.4,9.9,3.5,8.3,420,1.8,4.9,363,1.1,1.4,786,0.5,2.8,3.3,3.1,1.1,0.1,1.4,2.8
70,Ndudi Ebi,0,ROM,15,19.4,9.9,4.4,9.5,465,0.3,1.1,250,0.8,1.2,667,1.4,4.0,5.4,0.9,1.1,1.4,1.5,2.9
71,Edward Daniel,0,VAR,18,25.7,9.8,3.9,7.8,504,0.1,0.1,500,1.9,3.1,618,3.1,3.8,6.9,1.1,1.1,0.6,1.9,2.7
72,Michele Antonutti,0,JUV,24,18.2,9.8,3.6,7.1,512,1.5,3.8,407,1.0,1.0,920,0.7,2.5,3.2,0.4,0.5,0.0,0.4,1.5
73,Jeff Viggiano,0,VEN,41,22.7,9.7,3.6,7.9,451,1.3,4.0,325,1.3,1.8,736,0.8,2.3,3.1,1.8,0.7,0.2,1.3,2.1
74,Linton Johnson,0,PIS,11,29.0,9.5,3.7,7.4,506,0.2,0.8,222,1.8,2.2,833,2.8,6.2,9.0,0.7,0.7,0.8,1.5,2.3
75,Amedeo Della Valle,0,REG,49,23.1,9.3,2.7,7.3,373,1.3,4.1,325,2.5,3.0,837,0.6,1.8,2.4,1.3,1.2,0.1,1.2,2.1
76,Richard Howell,0,JUV,5,22.4,9.2,3.8,8.6,442,0.0,0.0,0,1.6,2.4,667,3.0,5.6,8.6,0.6,1.4,0.2,1.6,2.8
77,Elston Turner,0,NBB,35,26.6,9.2,3.6,8.7,414,1.4,4.3,322,0.6,0.7,870,0.5,2.4,2.9,1.8,0.7,0.2,0.9,1.8
78,Ksystof Lavrinovic,0,REG,13,18.8,9.1,2.8,6.5,435,0.7,2.0,346,2.7,3.3,814,0.9,2.5,3.5,1.0,0.4,0.5,1.8,2.5
79,Jeff Brooks,0,SAS,39,28.0,9.1,3.3,6.3,514,0.6,1.7,379,1.9,2.4,779,2.2,4.4,6.6,1.2,1.1,0.6,1.0,1.9
80,Craig Callahan,0,VAR,27,18.9,9.0,3.1,6.7,462,1.6,3.8,431,1.2,2.0,593,1.2,3.1,4.3,0.4,0.8,0.0,1.0,3.1
81,Wally Judge,0,PES,30,24.1,9.0,3.9,7.4,525,0.0,0.0,0,1.2,2.1,578,2.7,4.3,7.0,0.3,0.6,0.4,1.8,3.2
82,Daniel Hackett,0,MIL,20,25.2,9.0,2.9,5.7,500,0.6,1.6,387,2.7,3.5,771,0.5,2.9,3.4,4.0,1.0,0.2,1.3,2.6
83,Juvonte Reddic,0,PES,15,22.7,8.9,3.4,6.9,490,0.1,0.3,400,2.0,2.8,714,2.4,2.8,5.2,0.5,0.9,0.4,1.8,2.1
84,Jamarr Sanders,0,TREN,34,26.5,8.9,3.4,8.2,417,1.2,3.6,331,0.8,1.1,737,1.0,2.8,3.9,2.5,1.1,0.2,2.2,2.6
85,Sandro Nicevic,0,ORL,16,19.4,8.8,3.6,7.2,496,0.1,0.1,1.00,1.6,1.9,867,0.9,3.0,3.9,1.2,0.6,0.3,1.5,2.9
86,Cedric Simmons,0,NBB,4,19.0,8.8,4.0,5.8,696,0.0,0.0,0,0.8,1.8,429,1.3,4.8,6.0,0.5,1.0,1.5,1.8,2.3
87,Frank Gaines,0,JUV,9,23.2,8.7,2.9,8.6,338,1.1,4.2,263,1.8,2.2,800,0.1,1.8,1.9,0.3,0.6,0.1,1.3,2.9
88,Bradford Burgess,0,ORL,15,26.3,8.7,2.5,6.3,400,1.1,3.1,362,2.3,3.1,761,0.5,3.1,3.6,1.3,1.1,0.2,1.7,2.1
89,Linas Kleiza,0,MIL,37,18.5,8.5,3.1,6.7,458,1.6,4.3,384,0.7,0.9,813,0.9,2.6,3.5,0.7,0.3,0.1,1.2,2.9
90,Stefano Gentile,0,CAN,34,24.8,8.4,2.5,6.6,381,1.2,3.4,350,2.2,2.4,902,0.6,2.5,3.1,2.1,0.7,0.1,1.8,2.4
91,Jazzmar Ferguson,0,CRE,30,19.5,8.2,3.0,7.6,389,1.6,5.0,329,0.7,0.9,714,0.3,1.6,1.9,1.1,1.1,0.0,1.7,2.4
